ad_id,region,percentage
741991882940916,Quebec,1
741991882940916,New Brunswick,0
741991882940916,Prince Edward Island,0
741991882940916,Ontario,0
741991882940916,Saskatchewan,0
741991882940916,Nova Scotia,0
741991882940916,British Columbia,0
741991882940916,Northwest Territories,0
741991882940916,Nunavut,0
741991882940916,Manitoba,0
741991882940916,Alberta,0
741991882940916,Yukon,0
741991882940916,Newfoundland and Labrador,0
522438014999583,Quebec,1
522438014999583,New Brunswick,0
522438014999583,Prince Edward Island,0
522438014999583,Ontario,0
522438014999583,Saskatchewan,0
522438014999583,Nova Scotia,0
522438014999583,British Columbia,0
522438014999583,Northwest Territories,0
522438014999583,Nunavut,0
522438014999583,Manitoba,0
522438014999583,Alberta,0
522438014999583,Yukon,0
522438014999583,Newfoundland and Labrador,0
2408100469404692,Quebec,1
2408100469404692,New Brunswick,0
2408100469404692,Prince Edward Island,0
2408100469404692,Ontario,0
2408100469404692,Saskatchewan,0
2408100469404692,Nova Scotia,0
2408100469404692,British Columbia,0
2408100469404692,Northwest Territories,0
2408100469404692,Nunavut,0
2408100469404692,Manitoba,0
2408100469404692,Alberta,0
2408100469404692,Yukon,0
2408100469404692,Newfoundland and Labrador,0
464776647446944,Quebec,1
464776647446944,New Brunswick,0
464776647446944,Prince Edward Island,0
464776647446944,Ontario,0
464776647446944,Saskatchewan,0
464776647446944,Nova Scotia,0
464776647446944,British Columbia,0
464776647446944,Northwest Territories,0
464776647446944,Nunavut,0
464776647446944,Manitoba,0
464776647446944,Alberta,0
464776647446944,Yukon,0
464776647446944,Newfoundland and Labrador,0
402505153691188,Quebec,1
402505153691188,New Brunswick,0
402505153691188,Prince Edward Island,0
402505153691188,Ontario,0
402505153691188,Saskatchewan,0
402505153691188,Nova Scotia,0
402505153691188,British Columbia,0
402505153691188,Northwest Territories,0
402505153691188,Nunavut,0
402505153691188,Manitoba,0
402505153691188,Alberta,0
402505153691188,Yukon,0
402505153691188,Newfoundland and Labrador,0
660817331030032,Quebec,1
660817331030032,New Brunswick,0
660817331030032,Prince Edward Island,0
660817331030032,Ontario,0
660817331030032,Saskatchewan,0
660817331030032,Nova Scotia,0
660817331030032,British Columbia,0
660817331030032,Northwest Territories,0
660817331030032,Nunavut,0
660817331030032,Manitoba,0
660817331030032,Alberta,0
660817331030032,Yukon,0
660817331030032,Newfoundland and Labrador,0
