ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
2393254124295499,289645734402804,Bloc Québécois,Notre chef répond aux questions de sa fille autour d'un café ☕️,,,Rencontre entre un chef et sa fille,2019-10-20,2019-10-20,l'agent principal du Bloc Québécois,100000,124999,1000,1499,https://www.facebook.com/ads/library/?id=2393254124295499
746505265771456,289645734402804,Bloc Québécois,"Depuis le début de la campagne, on a présenté notre vision pour le Québec.

Un Québec prospère, vert, qui s’occupe de son monde.

Pour y arriver, lundi, le 21 octobre, allez voter. Parce que le Québec, c’est vous! ⚜️💪",,,"Le 21 octobre, allez voter!",2019-10-19,2019-10-20,l'agent principal du Bloc Québécois,100000,124999,700,799,https://www.facebook.com/ads/library/?id=746505265771456
2610223275739014,289645734402804,Bloc Québécois,"Un bon sondage, ce n’est rien sans un vote.

La péréquation verte, c’est juste une bonne idée sans un vote.",,,"La péréquation verte, c'est quoi?",2019-10-16,2019-10-18,l'agent principal du Bloc Québécois,175000,199999,1500,1999,https://www.facebook.com/ads/library/?id=2610223275739014
428201071414139,289645734402804,Bloc Québécois,"Le Québec, c'est nous. Nous allons voter.",,,,2019-10-12,2019-10-14,l'agent principal du Bloc Québécois,200000,249999,3500,3999,https://www.facebook.com/ads/library/?id=428201071414139
379899326291750,289645734402804,Bloc Québécois,"Pour une qualité de vie, tout au long de la vie.",,,"Pour une qualité de vie, tout au long de la vie.",2019-10-11,2019-10-14,l'agent principal du Bloc Québécois,300000,349999,3500,3999,https://www.facebook.com/ads/library/?id=379899326291750
2284876284957094,289645734402804,Bloc Québécois,"Faites un don pour nous aider à porter les intérêts du Québec, seulement les intérêts du Québec, à Ottawa.",contribution.bloc.org,Pour les intérêts du Québec.,Faites un don,2019-10-04,2019-10-05,l'agent principal du Bloc Québécois,80000,89999,1000,1499,https://www.facebook.com/ads/library/?id=2284876284957094
2455094851253459,289645734402804,Bloc Québécois,Demain vous appartient!,,,,2019-10-03,2019-10-05,l'agent principal du Bloc Québécois,500000,599999,2500,2999,https://www.facebook.com/ads/library/?id=2455094851253459
2411688509086159,289645734402804,Bloc Québécois,Steamé ou toasté? 🌭,,,Questions dans l'autobus avec Yves-François,2019-10-02,2019-10-03,l'agent principal du Bloc Québécois,450000,499999,2000,2499,https://www.facebook.com/ads/library/?id=2411688509086159
1306275489542612,289645734402804,Bloc Québécois,Steamé ou toasté? 🌭,,,Questions dans l'autobus avec Yves-François,2019-09-30,2019-10-01,l'agent principal du Bloc Québécois,700000,799999,3000,3499,https://www.facebook.com/ads/library/?id=1306275489542612
778121212640660,289645734402804,Bloc Québécois,"Il nous faut une réforme des pensions de vieillesse pour protéger le revenu des ménages et maintenir leur pouvoir d’achat. 

Deux millions de personnes en profiteraient. Améliorons leur qualité de vie.",,,,2019-09-29,2019-10-01,l'agent principal du Bloc Québécois,125000,149999,500,599,https://www.facebook.com/ads/library/?id=778121212640660
800859333662847,289645734402804,Bloc Québécois,"Bonnes journées de la culture! Soutenons nos créateurs.

- Investissements plus importants en culture
- Abolition de la TPS sur les livres
- Amélioration du financement du Conseil des Arts
- Appui aux demandes de la Coalition Diversité Expressions Culturelles-Diversity Cultural Expressions

La culture, c’est nous.",,,,2019-09-28,2019-09-30,l'agent principal du Bloc Québécois,80000,89999,500,599,https://www.facebook.com/ads/library/?id=800859333662847
379524906319275,289645734402804,Bloc Québécois,"Faites un don pour nous aider à porter les intérêts du Québec, seulement les intérêts du Québec, à Ottawa.",contribution.bloc.org,"Vous désirez devenir membre ou renouveler votre adhésion (5 $ par an), faire un don (maximum 1600 $ par personne) ou les deux à la fois? Sélectionnez l’opération désirée dans le menu déroulant ci-dessous.",J’investis pour le Québec - Bloc Québécois,2019-09-27,2019-09-30,l'agent principal du Bloc Québécois,100000,124999,1500,1999,https://www.facebook.com/ads/library/?id=379524906319275
953259538348920,289645734402804,Bloc Québécois,"Faites un don pour nous aider à porter les intérêts du Québec, seulement les intérêts du Québec, à Ottawa.",contribution.bloc.org,"Vous désirez devenir membre ou renouveler votre adhésion (5 $ par an), faire un don (maximum 1600 $ par personne) ou les deux à la fois? Sélectionnez l’opération désirée dans le menu déroulant ci-dessous.",Faites un don,2019-09-27,2019-09-27,l'agent principal du Bloc Québécois,0,999,0,99,https://www.facebook.com/ads/library/?id=953259538348920
2374348199327236,289645734402804,Bloc Québécois,"Au Québec, la langue commune est le français. Nous devons agir pour sa défense et sa promotion.

⚜️ Exiger la connaissance suffisante du français comme condition de la citoyenneté.
⚜️ Faire appliquer la loi 101 aux banques, aux entreprises de transport interprovincial et aux autres qui sont privés du droit de travailler en français simplement parce que leur employeur est régi par le Code canadien du travail.
⚜️ Soutenir les communautés francophones hors Québec, parce qu'entre francophones, on se tient.

Le français, c’est nous.",,,,2019-09-26,2019-09-28,l'agent principal du Bloc Québécois,200000,249999,900,999,https://www.facebook.com/ads/library/?id=2374348199327236
446882202583205,289645734402804,Bloc Québécois,Récompensons les bons joueurs et stimulons les efforts de réduction des GES. La péréquation verte permettra au Québec de montrer son leadership à l'égard de la lutte aux changements climatiques.,,,"La péréquation verte, c'est quoi?",2019-09-23,2019-09-24,l'agent principal du Bloc Québécois,125000,149999,700,799,https://www.facebook.com/ads/library/?id=446882202583205
1484987344974618,289645734402804,Bloc Québécois,Récompensons les bons joueurs et stimulons les efforts de réduction des GES. La péréquation verte permettra au Québec de montrer son leadership à l'égard de la lutte aux changements climatiques.,,,"La péréquation verte, c'est quoi?",2019-09-23,2019-09-23,l'agent principal du Bloc Québécois,25000,29999,100,199,https://www.facebook.com/ads/library/?id=1484987344974618
457582248182307,289645734402804,Bloc Québécois,"Faites un don pour nous aider à porter les intérêts du Québec, seulement les intérêts du Québec, à Ottawa.",contribution.bloc.org,"Vous désirez devenir membre ou renouveler votre adhésion (5 $ par an), faire un don (maximum 1600 $ par personne) ou les deux à la fois? Sélectionnez l’opération désirée dans le menu déroulant ci-dessous.",Faites un don,2019-09-21,2019-09-24,l'agent principal du Bloc Québécois,90000,99999,1000,1499,https://www.facebook.com/ads/library/?id=457582248182307
2474997735871222,289645734402804,Bloc Québécois,"Les Québécois méritent d’avoir le dernier mot quand il est question de projets qui touchent notre environnement et l’aménagement de notre territoire. 

Il est hors de question qu’Ottawa continue à nous imposer des pipelines, des aéroports, des tours cellulaires, sans notre consentement et trop souvent contre notre volonté.",,,,2019-09-21,2019-09-23,l'agent principal du Bloc Québécois,90000,99999,300,399,https://www.facebook.com/ads/library/?id=2474997735871222
395307061169070,289645734402804,Bloc Québécois,Aidez-nous à diffuser nos messages. Participez à notre campagne de financement. On compte sur vous.,contribution.bloc.org,"Vous désirez devenir membre ou renouveler votre adhésion (5 $ par an), faire un don (maximum 1600 $ par personne) ou les deux à la fois? Sélectionnez l’opération désirée dans le menu déroulant ci-dessous.",Faites un don,2019-09-18,2019-09-20,l'agent principal du Bloc Québécois,15000,19999,200,299,https://www.facebook.com/ads/library/?id=395307061169070
2626295434101963,289645734402804,Bloc Québécois,"Faites un don pour nous aider à porter les intérêts du Québec, seulement les intérêts du Québec, à Ottawa.",contribution.bloc.org,"Vous désirez devenir membre ou renouveler votre adhésion (5 $ par an), faire un don (maximum 1600 $ par personne) ou les deux à la fois? Sélectionnez l’opération désirée dans le menu déroulant ci-dessous.",Faites un don,2019-09-18,2019-09-20,l'agent principal du Bloc Québécois,10000,14999,200,299,https://www.facebook.com/ads/library/?id=2626295434101963
2944601579098838,289645734402804,Bloc Québécois,"Le Bloc, le seul parti contre l'oléoduc. Aidez-nous à défendre vos intérêts à Ottawa.",contribution.bloc.org,"Vous désirez devenir membre ou renouveler votre adhésion (5 $ par an), faire un don (maximum 1600 $ par personne) ou les deux à la fois? Sélectionnez l’opération désirée dans le menu déroulant ci-dessous.",Faites un don,2019-09-18,2019-09-20,l'agent principal du Bloc Québécois,10000,14999,200,299,https://www.facebook.com/ads/library/?id=2944601579098838
2530261877187738,289645734402804,Bloc Québécois,"Cher Liberal Party of Canada | Parti libéral du Canada, 

Si vous voulez, on peut vous aider à traduire vos textes.

Si iou inne Ottaoua!",,,,2019-09-17,2019-09-17,l'agent principal du Bloc Québécois,60000,69999,600,699,https://www.facebook.com/ads/library/?id=2530261877187738
3484195324927533,289645734402804,Bloc Québécois,"Cher Liberal Party of Canada | Parti libéral du Canada, 

Si vous voulez, on peut vous aider à traduire vos textes.

Si iou inne Ottaoua!",,,,2019-09-16,2019-09-17,l'agent principal du Bloc Québécois,10000,14999,0,99,https://www.facebook.com/ads/library/?id=3484195324927533
472849863571067,289645734402804,Bloc Québécois,"Notre agriculture est menacée. Le Bloc veut modifier la Loi sur le ministère des Affaires étrangères et du Commerce international afin que le Ministre ne puisse plus négocier de traités qui affaiblirait la gestion de l'offre. 

Défendons nos agriculteurs.",www.blocquebecois.org,,Notre agriculture est menacée,2019-09-12,2019-09-13,l'agent principal du Bloc Québécois,7000,7999,0,99,https://www.facebook.com/ads/library/?id=472849863571067
456738098386125,289645734402804,Bloc Québécois,"Le seul parti contre l'oléoduc, c'est nous. Donnez au Bloc Québécois.",contribution.bloc.org,,,2019-09-11,2019-09-12,l'agent principal du Bloc Québécois,7000,7999,0,99,https://www.facebook.com/ads/library/?id=456738098386125
416290305666640,289645734402804,Bloc Québécois,"Donnons-nous les moyens de faire élire le plus grand nombre de candidates et de candidats dévoués exclusivement aux intérêts du Québec. Des hommes et des femmes qui travailleront en français à Ottawa pour un Québec fort, prospère et vert. Pour une économie durable.

Plus que jamais, notre nation devra se tenir debout à Ottawa. Au cœur d’une campagne cruciale, le Québec a besoin du Bloc et, plus que jamais, le Bloc a besoin de votre contribution.",contribution.bloc.org,,J’investis pour le Québec - Bloc Québécois,2019-09-10,2019-09-11,l'agent principal du Bloc Québécois,10000,14999,200,299,https://www.facebook.com/ads/library/?id=416290305666640
526690931432762,289645734402804,Bloc Québécois,"Le Québec, c'est nous. ⚜️

Le seul parti qui défend et promeut les intérêts du Québec, c'est nous : le Bloc Québécois.",,,"Le Québec, c'est nous.",2019-09-03,2019-09-06,"Sylvain Gauthier, agent principal",5000,5999,0,99,https://www.facebook.com/ads/library/?id=526690931432762
