ad_id,age,gender,percentage
2393254124295499,65+,male,0.178949
2393254124295499,55-64,female,0.276956
2393254124295499,65+,female,0.3651
2393254124295499,55-64,male,0.165977
2393254124295499,55-64,unknown,0.006139
2393254124295499,65+,unknown,0.006879
2393254124295499,25-34,unknown,0
2393254124295499,45-54,male,0
2393254124295499,35-44,female,0
2393254124295499,18-24,unknown,0
2393254124295499,45-54,unknown,0
2393254124295499,18-24,female,0
2393254124295499,25-34,female,0
2393254124295499,35-44,unknown,0
2393254124295499,45-54,female,0
2393254124295499,18-24,male,0
2393254124295499,25-34,male,0
2393254124295499,35-44,male,0
746505265771456,55-64,male,0.249455
746505265771456,65+,male,0.251527
746505265771456,65+,female,0.271855
746505265771456,55-64,female,0.215766
746505265771456,65+,unknown,0.005849
746505265771456,55-64,unknown,0.005549
746505265771456,25-34,unknown,0
746505265771456,45-54,male,0
746505265771456,35-44,female,0
746505265771456,18-24,unknown,0
746505265771456,45-54,unknown,0
746505265771456,18-24,female,0
746505265771456,25-34,female,0
746505265771456,35-44,unknown,0
746505265771456,45-54,female,0
746505265771456,18-24,male,0
746505265771456,25-34,male,0
746505265771456,35-44,male,0
2610223275739014,25-34,female,0.037427
2610223275739014,25-34,male,0.304513
2610223275739014,35-44,male,0.223944
2610223275739014,18-24,male,0.217142
2610223275739014,45-54,male,0.098518
2610223275739014,35-44,female,0.033306
2610223275739014,18-24,female,0.046885
2610223275739014,25-34,unknown,0.005328
2610223275739014,45-54,female,0.021249
2610223275739014,18-24,unknown,0.000732
2610223275739014,45-54,unknown,0.003042
2610223275739014,35-44,unknown,0.007912
2610223275739014,55-64,male,0
2610223275739014,65+,male,0
2610223275739014,55-64,female,0
2610223275739014,65+,female,0
2610223275739014,65+,unknown,0
2610223275739014,55-64,unknown,0
428201071414139,35-44,male,0.146715
428201071414139,25-34,male,0.214953
428201071414139,18-24,female,0.090411
428201071414139,25-34,female,0.07962
428201071414139,18-24,male,0.168494
428201071414139,45-54,male,0.128768
428201071414139,45-54,female,0.066112
428201071414139,35-44,female,0.056753
428201071414139,55-64,male,0.017822
428201071414139,55-64,female,0.011504
428201071414139,35-44,unknown,0.006921
428201071414139,25-34,unknown,0.004993
428201071414139,45-54,unknown,0.005113
428201071414139,55-64,unknown,0.000602
428201071414139,18-24,unknown,0.001214
428201071414139,13-17,unknown,5.0E-6
428201071414139,65+,unknown,0
428201071414139,65+,female,0
428201071414139,65+,male,0
379899326291750,65+,male,0.254847
379899326291750,65+,female,0.289899
379899326291750,55-64,male,0.24563
379899326291750,55-64,female,0.19742
379899326291750,55-64,unknown,0.00538
379899326291750,65+,unknown,0.006824
379899326291750,25-34,unknown,0
379899326291750,45-54,male,0
379899326291750,35-44,female,0
379899326291750,18-24,unknown,0
379899326291750,45-54,unknown,0
379899326291750,18-24,female,0
379899326291750,25-34,female,0
379899326291750,35-44,unknown,0
379899326291750,45-54,female,0
379899326291750,18-24,male,0
379899326291750,25-34,male,0
379899326291750,35-44,male,0
2284876284957094,35-44,male,0.058734
2284876284957094,55-64,male,0.163734
2284876284957094,45-54,male,0.065337
2284876284957094,25-34,male,0.104783
2284876284957094,65+,male,0.230462
2284876284957094,45-54,female,0.021156
2284876284957094,65+,female,0.213997
2284876284957094,55-64,female,0.09579
2284876284957094,25-34,female,0.016139
2284876284957094,35-44,female,0.012707
2284876284957094,35-44,unknown,0.002042
2284876284957094,45-54,unknown,0.002042
2284876284957094,65+,unknown,0.00732
2284876284957094,55-64,unknown,0.004257
2284876284957094,25-34,unknown,0.001499
2284876284957094,18-24,male,0
2284876284957094,18-24,female,0
2284876284957094,18-24,unknown,0
2455094851253459,55-64,female,0.060539
2455094851253459,65+,male,0.032699
2455094851253459,55-64,unknown,0.001237
2455094851253459,25-34,unknown,0.004066
2455094851253459,65+,unknown,0.00114
2455094851253459,35-44,unknown,0.004547
2455094851253459,45-54,unknown,0.001864
2455094851253459,65+,female,0.044996
2455094851253459,45-54,female,0.050967
2455094851253459,25-34,female,0.121266
2455094851253459,55-64,male,0.050275
2455094851253459,35-44,male,0.101351
2455094851253459,45-54,male,0.064789
2455094851253459,25-34,male,0.150395
2455094851253459,18-24,male,0.109397
2455094851253459,35-44,female,0.075
2455094851253459,18-24,female,0.124986
2455094851253459,18-24,unknown,0.000484
2411688509086159,18-24,female,0.122024
2411688509086159,65+,female,0.038019
2411688509086159,45-54,unknown,0.001842
2411688509086159,25-34,unknown,0.00469
2411688509086159,55-64,unknown,0.001137
2411688509086159,45-54,female,0.046883
2411688509086159,18-24,unknown,0.000551
2411688509086159,35-44,unknown,0.00504
2411688509086159,25-34,female,0.132221
2411688509086159,35-44,female,0.076278
2411688509086159,55-64,female,0.050541
2411688509086159,65+,male,0.027534
2411688509086159,35-44,male,0.105273
2411688509086159,25-34,male,0.168595
2411688509086159,55-64,male,0.040986
2411688509086159,18-24,male,0.116043
2411688509086159,45-54,male,0.061291
2411688509086159,65+,unknown,0.001051
1306275489542612,18-24,female,0.117479
1306275489542612,55-64,male,0.046439
1306275489542612,55-64,unknown,0.00127
