ad_id,region,percentage
2393254124295499,Quebec,1
2393254124295499,Ontario,0
2393254124295499,British Columbia,0
2393254124295499,Saskatchewan,0
2393254124295499,Nova Scotia,0
2393254124295499,Prince Edward Island,0
2393254124295499,Yukon,0
2393254124295499,Nunavut,0
2393254124295499,Manitoba,0
2393254124295499,New Brunswick,0
2393254124295499,Alberta,0
2393254124295499,Newfoundland and Labrador,0
2393254124295499,Northwest Territories,0
746505265771456,Quebec,1
746505265771456,Ontario,0
746505265771456,British Columbia,0
746505265771456,Saskatchewan,0
746505265771456,Nova Scotia,0
746505265771456,Prince Edward Island,0
746505265771456,Yukon,0
746505265771456,Nunavut,0
746505265771456,Manitoba,0
746505265771456,New Brunswick,0
746505265771456,Alberta,0
746505265771456,Newfoundland and Labrador,0
746505265771456,Northwest Territories,0
2610223275739014,Quebec,1
2610223275739014,Ontario,0
2610223275739014,British Columbia,0
2610223275739014,Saskatchewan,0
2610223275739014,Nova Scotia,0
2610223275739014,Prince Edward Island,0
2610223275739014,Yukon,0
2610223275739014,Nunavut,0
2610223275739014,Manitoba,0
2610223275739014,New Brunswick,0
2610223275739014,Alberta,0
2610223275739014,Newfoundland and Labrador,0
2610223275739014,Northwest Territories,0
428201071414139,Quebec,1
428201071414139,Ontario,0
428201071414139,British Columbia,0
428201071414139,Saskatchewan,0
428201071414139,Nova Scotia,0
428201071414139,Prince Edward Island,0
428201071414139,Yukon,0
428201071414139,Nunavut,0
428201071414139,Manitoba,0
428201071414139,New Brunswick,0
428201071414139,Alberta,0
428201071414139,Newfoundland and Labrador,0
428201071414139,Northwest Territories,0
379899326291750,Quebec,1
379899326291750,Ontario,0
379899326291750,British Columbia,0
379899326291750,Saskatchewan,0
379899326291750,Nova Scotia,0
379899326291750,Prince Edward Island,0
379899326291750,Yukon,0
379899326291750,Nunavut,0
379899326291750,Manitoba,0
379899326291750,New Brunswick,0
379899326291750,Alberta,0
379899326291750,Newfoundland and Labrador,0
379899326291750,Northwest Territories,0
