ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
408227953449054,120693171297777,Andrew Scheer,"Comme PM, mon message aux Québécois sera simple. Lorsqu’on parle des pouvoirs du Québec: OUI! Vous êtes maîtres chez vous, maîtres de votre culture, de vos institutions et de vos aspirations. Une nation québécoise doit pouvoir évoluer, s’épanouir et grandir dans notre beau pays.",,,Mon message aux Québécois,2019-10-18,2019-10-18,Conservative Party of Canada - Parti conservateur du Canada,125000,149999,1500,1999,https://www.facebook.com/ads/library/?id=408227953449054
2508107776086370,120693171297777,Andrew Scheer,"Comme PM, mon message aux Québécois sera simple. Lorsqu’on parle des pouvoirs du Québec: OUI! Vous êtes maîtres chez vous, maîtres de votre culture, de vos institutions et de vos aspirations. Une nation québécoise doit pouvoir évoluer, s’épanouir et grandir dans notre beau pays.",,,Mon message aux Québécois,2019-10-17,2019-10-18,Conservative Party of Canada - Parti conservateur du Canada,250000,299999,3000,3499,https://www.facebook.com/ads/library/?id=2508107776086370
526026944900531,120693171297777,Andrew Scheer,"Who do you trust to put more money in your pockets to make life more affordable?

Our plan has 3 steps:

1️⃣ Scrap the carbon tax
2️⃣ Take the GST off of your home heating bill
3️⃣ Bring in the Universal Tax Cut for everyone
 
It's time for you to get ahead.",,,My plan to help you get ahead,2019-10-16,2019-10-18,Conservative Party of Canada - Parti conservateur du Canada,150000,174999,2000,2499,https://www.facebook.com/ads/library/?id=526026944900531
1005294283147677,120693171297777,Andrew Scheer,"Who do you trust to put more money in your pockets to make life more affordable?

Our plan has 3 steps:

1️⃣ Scrap the carbon tax
2️⃣ Take the GST off of your home heating bill
3️⃣ Bring in the Universal Tax Cut for everyone
 
It's time for you to get ahead.",,,My plan to help you get ahead,2019-10-15,2019-10-18,Conservative Party of Canada - Parti conservateur du Canada,350000,399999,4000,4499,https://www.facebook.com/ads/library/?id=1005294283147677
568297073998616,120693171297777,Andrew Scheer,"En qui avez-vous confiance pour mettre plus d’argent dans vos poches et rendre la vie plus abordable?

Notre plan en trois étapes:

1️⃣ Éliminer la taxe sur le carbone
2️⃣ Supprimer la TPS de votre facture de chauffage
3️⃣ Instaurer la Baisse d’impôt pour tous
 
Il est temps pour vous d’améliorer votre quotidien.",,,"Mon plan: plus, pour vous, dès maintenant.",2019-10-15,2019-10-18,Conservative Party of Canada - Parti conservateur du Canada,400000,449999,4000,4499,https://www.facebook.com/ads/library/?id=568297073998616
643931626014546,120693171297777,Andrew Scheer,"Who do you trust to put more money in your pockets to make life more affordable?

Our plan has 3 steps:

1️⃣ Scrap the carbon tax
2️⃣ Take the GST off of your home heating bill
3️⃣ Bring in the Universal Tax Cut for everyone
 
It's time for you to get ahead.",,,My plan to help you get ahead,2019-10-14,2019-10-18,Conservative Party of Canada - Parti conservateur du Canada,500000,599999,5000,5999,https://www.facebook.com/ads/library/?id=643931626014546
779193862539728,120693171297777,Andrew Scheer,"Four years ago, Justin Trudeau stood right here on this very spot and lied to Canadians.

He said he would be different. But as the last four years have shown, Justin Trudeau is #NotAsAdvertised.

I have a plan to help all Canadians get ahead.",www.andrewscheer.ca,Pledge to vote for him here,Support Andrew Scheer,2019-09-16,2019-09-22,Conservative Party of Canada - Parti conservateur du Canada,125000,149999,1000,1499,https://www.facebook.com/ads/library/?id=779193862539728
2358767511107168,120693171297777,Andrew Scheer,"Four years ago, Justin Trudeau stood right here on this very spot and lied to Canadians.

He said he would be different. But as the last four years have shown, Justin Trudeau is #NotAsAdvertised.

I have a plan to help all Canadians get ahead.",www.andrewscheer.ca,Pledge to vote for him here,Support Andrew Scheer,2019-09-16,2019-09-22,Conservative Party of Canada - Parti conservateur du Canada,60000,69999,1000,1499,https://www.facebook.com/ads/library/?id=2358767511107168
449068419150505,120693171297777,Andrew Scheer,"Four years ago, Justin Trudeau stood right here on this very spot and lied to Canadians.

He said he would be different. But as the last four years have shown, Justin Trudeau is #NotAsAdvertised.

I have a plan to help all Canadians get ahead.",www.andrewscheer.ca,Pledge to vote for him here,Support Andrew Scheer,2019-09-14,2019-09-15,Conservative Party of Canada - Parti conservateur du Canada,10000,14999,200,299,https://www.facebook.com/ads/library/?id=449068419150505
663783447437604,120693171297777,Andrew Scheer,"Four years ago, Justin Trudeau stood right here on this very spot and lied to Canadians.

He said he would be different. But as the last four years have shown, Justin Trudeau is #NotAsAdvertised.

I have a plan to help all Canadians get ahead.",www.andrewscheer.ca,Pledge to vote for him here,Support Andrew Scheer,2019-09-13,2019-09-22,Conservative Party of Canada - Parti conservateur du Canada,150000,174999,1000,1499,https://www.facebook.com/ads/library/?id=663783447437604
751725678581441,120693171297777,Andrew Scheer,"Four years ago, Justin Trudeau stood right here on this very spot and lied to Canadians.

He said he would be different. But as the last four years have shown, Justin Trudeau is #NotAsAdvertised.

I have a plan to help all Canadians get ahead.",www.andrewscheer.ca,Pledge to vote for him here,Support Andrew Scheer,2019-09-13,2019-09-14,Conservative Party of Canada - Parti conservateur du Canada,8000,8999,100,199,https://www.facebook.com/ads/library/?id=751725678581441
444940019450618,120693171297777,Andrew Scheer,"Four years ago, Justin Trudeau stood right here on this very spot and lied to Canadians.

He said he would be different. But as the last four years have shown, Justin Trudeau is #NotAsAdvertised.

I have a plan to help all Canadians get ahead.",www.andrewscheer.ca,Pledge to vote for him here,Support Andrew Scheer,2019-09-13,2019-09-22,Conservative Party of Canada - Parti conservateur du Canada,150000,174999,1000,1499,https://www.facebook.com/ads/library/?id=444940019450618
2655542984465367,120693171297777,Andrew Scheer,"Four years ago, Justin Trudeau stood right here on this very spot and lied to Canadians.

He said he would be different. But as the last four years have shown, Justin Trudeau is #NotAsAdvertised.

I have a plan to help all Canadians get ahead.",www.andrewscheer.ca,Pledge to vote for him here,Support Andrew Scheer,2019-09-13,2019-09-22,Conservative Party of Canada - Parti conservateur du Canada,150000,174999,1000,1499,https://www.facebook.com/ads/library/?id=2655542984465367
932627183749415,120693171297777,Andrew Scheer,"Four years ago, Justin Trudeau stood right here on this very spot and lied to Canadians.

He said he would be different. But as the last four years have shown, Justin Trudeau is #NotAsAdvertised.

I have a plan to help all Canadians get ahead.",www.andrewscheer.ca,Pledge to vote for him here,Support Andrew Scheer,2019-09-13,2019-09-22,Conservative Party of Canada - Parti conservateur du Canada,125000,149999,1000,1499,https://www.facebook.com/ads/library/?id=932627183749415
2290475941070159,120693171297777,Andrew Scheer,"Il y a quatre ans, Justin Trudeau était ici même et il a menti aux Canadiens.

Il a dit qu’il serait différent, mais, comme le démontrent ces quatre dernières années, Justin Trudeau n’est #PasCeluiQuilPretendaitEtre.

J’ai un plan pour aider tous les Canadiens à améliorer leur quotidien.",www.andrewscheer.ca,Signez ici!,Appuyez le plan d'Andrew,2019-09-13,2019-09-22,Conservative Party of Canada - Parti conservateur du Canada,150000,174999,1500,1999,https://www.facebook.com/ads/library/?id=2290475941070159
745275439258893,120693171297777,Andrew Scheer,"Il y a quatre ans, Justin Trudeau était ici même et il a menti aux Canadiens.

Il a dit qu’il serait différent, mais, comme le démontrent ces quatre dernières années, Justin Trudeau n’est #PasCeluiQuilPretendaitEtre.

J’ai un plan pour aider tous les Canadiens à améliorer leur quotidien.",www.andrewscheer.ca,Signez ici!,Appuyez le plan d'Andrew,2019-09-13,2019-09-22,Conservative Party of Canada - Parti conservateur du Canada,400000,449999,3500,3999,https://www.facebook.com/ads/library/?id=745275439258893
729047437534455,120693171297777,Andrew Scheer,"Four years ago, Justin Trudeau stood right here on this very spot and lied to Canadians.

He said he would be different. But as the last four years have shown, Justin Trudeau is #NotAsAdvertised.

I have a plan to help all Canadians get ahead.",www.andrewscheer.ca,Pledge to vote for him here,Support Andrew Scheer,2019-09-13,2019-09-22,Conservative Party of Canada - Parti conservateur du Canada,150000,174999,1000,1499,https://www.facebook.com/ads/library/?id=729047437534455
2494475297282310,120693171297777,Andrew Scheer,"Four years ago, Justin Trudeau stood right here on this very spot and lied to Canadians.

He said he would be different. But as the last four years have shown, Justin Trudeau is #NotAsAdvertised.

I have a plan to help all Canadians get ahead.",www.andrewscheer.ca,Pledge to vote for him here,Support Andrew Scheer,2019-09-13,2019-09-22,Conservative Party of Canada - Parti conservateur du Canada,100000,124999,1000,1499,https://www.facebook.com/ads/library/?id=2494475297282310
384035465866633,120693171297777,Andrew Scheer,"Four years ago, Justin Trudeau stood right here on this very spot and lied to Canadians.

He said he would be different. But as the last four years have shown, Justin Trudeau is #NotAsAdvertised.

I have a plan to help all Canadians get ahead.",www.andrewscheer.ca,Pledge to vote for him here,Support Andrew Scheer,2019-09-13,2019-09-22,Conservative Party of Canada - Parti conservateur du Canada,70000,79999,1000,1499,https://www.facebook.com/ads/library/?id=384035465866633
499497303947161,120693171297777,Andrew Scheer,"Four years ago, Justin Trudeau stood right here on this very spot and lied to Canadians.

He said he would be different. But as the last four years have shown, Justin Trudeau is #NotAsAdvertised.

I have a plan to help all Canadians get ahead.",www.andrewscheer.ca,Pledge to vote for him here,Support Andrew Scheer,2019-09-13,2019-09-22,Conservative Party of Canada - Parti conservateur du Canada,80000,89999,1000,1499,https://www.facebook.com/ads/library/?id=499497303947161
1116983972025613,120693171297777,Andrew Scheer,"Four years ago, Justin Trudeau stood right here on this very spot and lied to Canadians.

He said he would be different. But as the last four years have shown, Justin Trudeau is #NotAsAdvertised.

I have a plan to help all Canadians get ahead.",www.andrewscheer.ca,Pledge to vote for him here,Support Andrew Scheer,2019-09-13,2019-09-22,Conservative Party of Canada - Parti conservateur du Canada,125000,149999,1000,1499,https://www.facebook.com/ads/library/?id=1116983972025613
710611802685733,120693171297777,Andrew Scheer,"Un dîner gratuit sera offert!

Assurez-vous d’arriver tôt!",cpcevents.ca, ,Lancement de campagne – Trois-Rivières,2019-09-10,2019-09-10,Conservative Party of Canada - Parti conservateur du Canada,1000,1999,0,99,https://www.facebook.com/ads/library/?id=710611802685733
384361582200955,120693171297777,Andrew Scheer,A new Conservative government will live within its means and put more money in your pockets so you can get ahead.,www.conservative.ca,Conservative Party of Canada,It's time for you to get ahead,2019-09-10,2019-09-10,Conservative Party of Canada - Parti conservateur du Canada,10000,14999,100,199,https://www.facebook.com/ads/library/?id=384361582200955
501161053780414,120693171297777,Andrew Scheer,"Un Dîner Gratuit Sera Offert!

Assurez-vous d’arriver tôt!",cpcevents.ca, ,Lancement de campagne – Trois-Rivières,2019-09-10,2019-09-10,Conservative Party of Canada - Parti conservateur du Canada,9000,9999,200,299,https://www.facebook.com/ads/library/?id=501161053780414
739279486506657,120693171297777,Andrew Scheer,I was doorknocking in Laval and met this Liberal supporter who is very disappointed in Justin Trudeau. I hear the same thing everywhere I go across Canada. #NotAsAdvertised,,,Door knocking in Laval,2019-09-08,2019-09-10,Conservative Party of Canada - Parti conservateur du Canada,125000,149999,1500,1999,https://www.facebook.com/ads/library/?id=739279486506657
387738945455245,120693171297777,Andrew Scheer,J'ai fait du porte-à-porte à Laval et j'ai rencontré cette partisane libérale qui est très déçue de Justin Trudeau. J'entends la même chose partout où je vais au Canada. #PasCeluiQuilPretendaitEtre,,,Porte-à-porte à Laval,2019-09-08,2019-09-10,Conservative Party of Canada - Parti conservateur du Canada,125000,149999,1500,1999,https://www.facebook.com/ads/library/?id=387738945455245
395392727841743,120693171297777,Andrew Scheer,"While Justin Trudeau is focused on personal attacks, I’m focused on you and the things I can do to help make your life more affordable.",,,I’m focused on helping you get ahead.,2019-09-07,2019-09-10,Conservative Party of Canada - Parti conservateur du Canada,70000,79999,1000,1499,https://www.facebook.com/ads/library/?id=395392727841743
761962707557442,120693171297777,Andrew Scheer,"While Justin Trudeau is focused on personal attacks, I’m focused on you and the things I can do to help make your life more affordable.",,,I’m focused on helping you get ahead.,2019-09-07,2019-09-10,Conservative Party of Canada - Parti conservateur du Canada,100000,124999,1000,1499,https://www.facebook.com/ads/library/?id=761962707557442
500247534096843,120693171297777,Andrew Scheer,"Alors que Justin Trudeau se concentre sur des attaques personnelles, je me concentre sur vous et ce que je peux faire pour diminuer le coût de la vie.",,,Je veux vous donner plus. Pour vous. Dès maintenant.,2019-09-07,2019-09-10,Conservative Party of Canada - Parti conservateur du Canada,100000,124999,1000,1499,https://www.facebook.com/ads/library/?id=500247534096843
401555867221228,120693171297777,Andrew Scheer,"Il y a quatre ans, Justin Trudeau était ici même et il a menti aux Canadiens.

Il a dit qu’il serait différent, mais, comme le démontrent ces quatre dernières années, Justin Trudeau n’est #PasCeluiQuilPretendaitEtre.

J’ai un plan pour aider tous les Canadiens à améliorer leur quotidien.",,,Donate today!,2019-09-06,2019-09-10,Conservative Party of Canada - Parti conservateur du Canada,175000,199999,2000,2499,https://www.facebook.com/ads/library/?id=401555867221228
2372490472869331,120693171297777,Andrew Scheer,A new Conservative government will live within its means and put more money in your pockets so you can get ahead.,www.conservative.ca,Conservative Party of Canada,It's time for you to get ahead,2019-09-06,2019-09-10,Conservative Party of Canada - Parti conservateur du Canada,100000,124999,1500,1999,https://www.facebook.com/ads/library/?id=2372490472869331
