ad_id,age,gender,percentage
408227953449054,65+,female,0.087378
408227953449054,65+,male,0.072913
408227953449054,55-64,unknown,0.001416
408227953449054,45-54,unknown,0.001692
408227953449054,25-34,unknown,0.002069
408227953449054,65+,unknown,0.001628
408227953449054,35-44,unknown,0.003476
408227953449054,18-24,female,0.05351
408227953449054,35-44,male,0.118818
408227953449054,55-64,male,0.083534
408227953449054,45-54,female,0.044664
408227953449054,25-34,female,0.061906
408227953449054,18-24,male,0.108491
408227953449054,25-34,male,0.16636
408227953449054,35-44,female,0.044204
408227953449054,45-54,male,0.076628
408227953449054,55-64,female,0.071083
408227953449054,18-24,unknown,0.00023
2508107776086370,55-64,male,0.078888
2508107776086370,18-24,female,0.056703
2508107776086370,35-44,unknown,0.003478
2508107776086370,25-34,unknown,0.002594
2508107776086370,45-54,unknown,0.001597
2508107776086370,65+,unknown,0.001426
2508107776086370,55-64,unknown,0.001275
2508107776086370,35-44,male,0.12351
2508107776086370,65+,male,0.06901
2508107776086370,35-44,female,0.039119
2508107776086370,45-54,male,0.078875
2508107776086370,45-54,female,0.035054
2508107776086370,25-34,female,0.057757
2508107776086370,65+,female,0.075032
2508107776086370,18-24,male,0.122267
2508107776086370,55-64,female,0.06126
2508107776086370,25-34,male,0.191909
2508107776086370,18-24,unknown,0.000246
526026944900531,18-24,male,0.174609
526026944900531,35-44,male,0.11886
526026944900531,25-34,unknown,0.001816
526026944900531,35-44,unknown,0.003926
526026944900531,18-24,unknown,0.000557
526026944900531,45-54,unknown,0.00249
526026944900531,55-64,unknown,0.002002
526026944900531,45-54,female,0.052184
526026944900531,25-34,female,0.078911
526026944900531,35-44,female,0.073004
526026944900531,65+,female,0.038347
526026944900531,55-64,female,0.041697
526026944900531,65+,male,0.033641
526026944900531,45-54,male,0.072281
526026944900531,25-34,male,0.208103
526026944900531,55-64,male,0.043767
526026944900531,18-24,female,0.052331
526026944900531,65+,unknown,0.001475
1005294283147677,13-17,unknown,5.0E-6
1005294283147677,25-34,female,0.077435
1005294283147677,18-24,unknown,0.000715
1005294283147677,45-54,unknown,0.002827
1005294283147677,35-44,unknown,0.003899
1005294283147677,65+,unknown,0.002398
1005294283147677,55-64,female,0.052238
1005294283147677,25-34,unknown,0.002465
1005294283147677,55-64,male,0.04983
1005294283147677,18-24,male,0.139527
1005294283147677,45-54,male,0.07714
1005294283147677,65+,male,0.039116
1005294283147677,45-54,female,0.053827
1005294283147677,35-44,male,0.117877
1005294283147677,25-34,male,0.205445
1005294283147677,18-24,female,0.047324
1005294283147677,65+,female,0.049902
1005294283147677,35-44,female,0.075478
1005294283147677,55-64,unknown,0.002553
568297073998616,55-64,male,0.07034
568297073998616,55-64,female,0.056573
568297073998616,65+,unknown,0.003479
568297073998616,45-54,unknown,0.003018
568297073998616,35-44,unknown,0.003123
568297073998616,55-64,unknown,0.003224
568297073998616,45-54,female,0.050769
568297073998616,25-34,female,0.064019
568297073998616,45-54,male,0.092678
568297073998616,25-34,male,0.177546
568297073998616,25-34,unknown,0.002232
568297073998616,18-24,male,0.097484
568297073998616,18-24,female,0.03951
568297073998616,65+,male,0.063241
568297073998616,35-44,female,0.062481
568297073998616,35-44,male,0.140276
568297073998616,65+,female,0.069453
568297073998616,18-24,unknown,0.000554
643931626014546,35-44,female,0.057228
643931626014546,65+,female,0.042596
643931626014546,65+,unknown,0.002044
643931626014546,35-44,unknown,0.003662
643931626014546,18-24,unknown,0.000941
643931626014546,45-54,unknown,0.002959
643931626014546,25-34,unknown,0.003017
643931626014546,55-64,unknown,0.002489
643931626014546,18-24,female,0.053382
643931626014546,45-54,male,0.074471
643931626014546,35-44,male,0.123472
643931626014546,25-34,female,0.070493
643931626014546,55-64,male,0.046906
643931626014546,25-34,male,0.21731
643931626014546,65+,male,0.033931
643931626014546,18-24,male,0.178814
643931626014546,45-54,female,0.041971
643931626014546,55-64,female,0.044305
643931626014546,13-17,unknown,1.0E-5
779193862539728,65+,female,0.044547
779193862539728,65+,unknown,0.003922
779193862539728,25-34,unknown,0.003729
779193862539728,45-54,unknown,0.003358
779193862539728,55-64,unknown,0.003486
779193862539728,25-34,female,0.063014
779193862539728,35-44,female,0.049097
779193862539728,35-44,unknown,0.00428
779193862539728,65+,male,0.048469
779193862539728,45-54,male,0.079136
779193862539728,45-54,female,0.036537
779193862539728,55-64,male,0.057991
779193862539728,35-44,male,0.128425
779193862539728,18-24,female,0.061297
779193862539728,55-64,female,0.040164
779193862539728,25-34,male,0.212354
779193862539728,18-24,male,0.159029
779193862539728,18-24,unknown,0.001166
2358767511107168,25-34,male,0.201217
2358767511107168,65+,female,0.036183
2358767511107168,25-34,unknown,0.003848
2358767511107168,55-64,unknown,0.003056
2358767511107168,35-44,unknown,0.004148
2358767511107168,18-24,unknown,0.001746
2358767511107168,45-54,unknown,0.004148
2358767511107168,25-34,female,0.080689
2358767511107168,55-64,female,0.038748
2358767511107168,18-24,male,0.168036
2358767511107168,45-54,female,0.047207
2358767511107168,45-54,male,0.070565
2358767511107168,55-64,male,0.044588
2358767511107168,65+,male,0.030753
2358767511107168,35-44,male,0.116735
2358767511107168,18-24,female,0.078779
2358767511107168,35-44,female,0.0671
2358767511107168,65+,unknown,0.002456
449068419150505,25-34,male,0.204091
449068419150505,55-64,female,0.040155
449068419150505,55-64,unknown,0.002462
449068419150505,45-54,unknown,0.003031
449068419150505,65+,unknown,0.002936
449068419150505,35-44,unknown,0.003315
449068419150505,35-44,female,0.057581
449068419150505,25-34,unknown,0.004167
449068419150505,45-54,female,0.039682
449068419150505,18-24,male,0.192253
449068419150505,45-54,male,0.071977
449068419150505,65+,male,0.039682
449068419150505,65+,female,0.042239
449068419150505,25-34,female,0.062506
449068419150505,18-24,female,0.064874
449068419150505,55-64,male,0.05313
449068419150505,35-44,male,0.114689
449068419150505,18-24,unknown,0.001231
663783447437604,25-34,female,0.068085
663783447437604,45-54,male,0.079415
663783447437604,45-54,unknown,0.002948
663783447437604,65+,unknown,0.002043
663783447437604,35-44,unknown,0.00397
663783447437604,18-24,unknown,0.001221
663783447437604,55-64,unknown,0.002717
663783447437604,35-44,female,0.048047
663783447437604,65+,female,0.033948
663783447437604,18-24,female,0.057871
663783447437604,18-24,male,0.146278
663783447437604,55-64,male,0.053933
663783447437604,55-64,female,0.032884
663783447437604,25-34,male,0.249173
663783447437604,65+,male,0.037643
663783447437604,45-54,female,0.031105
663783447437604,35-44,male,0.145246
663783447437604,25-34,unknown,0.003475
751725678581441,35-44,female,0.045849
751725678581441,55-64,male,0.060719
751725678581441,18-24,unknown,0.001928
751725678581441,25-34,unknown,0.005645
751725678581441,45-54,unknown,0.004406
751725678581441,55-64,unknown,0.002754
751725678581441,35-44,unknown,0.004819
751725678581441,65+,male,0.042682
751725678581441,18-24,female,0.042407
751725678581441,45-54,male,0.077654
751725678581441,35-44,male,0.127496
751725678581441,45-54,female,0.035523
751725678581441,25-34,female,0.049842
751725678581441,55-64,female,0.034834
751725678581441,65+,female,0.041718
751725678581441,25-34,male,0.235302
751725678581441,18-24,male,0.183258
751725678581441,65+,unknown,0.003167
444940019450618,25-34,female,0.064191
444940019450618,35-44,female,0.044538
444940019450618,55-64,unknown,0.002879
444940019450618,65+,unknown,0.002989
444940019450618,35-44,unknown,0.004095
