ad_id,region,percentage
459275364934878,Quebec,1
459275364934878,Alberta,0
459275364934878,Manitoba,0
459275364934878,New Brunswick,0
459275364934878,Prince Edward Island,0
459275364934878,Northwest Territories,0
459275364934878,Ontario,0
459275364934878,Yukon,0
459275364934878,Nunavut,0
459275364934878,Nova Scotia,0
459275364934878,Newfoundland and Labrador,0
459275364934878,British Columbia,0
459275364934878,Saskatchewan,0
698914727278176,Alberta,0.187154
698914727278176,British Columbia,0.285754
698914727278176,Manitoba,0.046296
698914727278176,New Brunswick,0.012813
698914727278176,Nova Scotia,0.014952
698914727278176,Ontario,0.401334
698914727278176,Prince Edward Island,0.00014
698914727278176,Saskatchewan,0.040391
698914727278176,Yukon,0.007408
698914727278176,Nunavut,0.003758
698914727278176,Quebec,0
698914727278176,Newfoundland and Labrador,0
698914727278176,Northwest Territories,0
472089423423041,Alberta,0.006018
472089423423041,British Columbia,0.003706
472089423423041,Manitoba,0.001968
472089423423041,New Brunswick,0.003821
472089423423041,Newfoundland and Labrador,0.000318
472089423423041,Nova Scotia,0.001641
472089423423041,Ontario,0.026984
472089423423041,Prince Edward Island,9.0E-6
472089423423041,Quebec,0.954142
472089423423041,Saskatchewan,0.000962
472089423423041,Yukon,0.000362
472089423423041,Nunavut,7.1E-5
472089423423041,Northwest Territories,0
516413565821833,Alberta,0.009183
516413565821833,British Columbia,0.006555
516413565821833,Manitoba,0.003021
516413565821833,New Brunswick,0.007209
516413565821833,Newfoundland and Labrador,0.000342
516413565821833,Nova Scotia,0.003121
516413565821833,Ontario,0.041886
516413565821833,Quebec,0.926539
516413565821833,Saskatchewan,0.00146
516413565821833,Yukon,0.000534
516413565821833,Nunavut,0.000151
516413565821833,Northwest Territories,0
516413565821833,Prince Edward Island,0
2422019618057425,Alberta,0.00775
2422019618057425,British Columbia,0.006221
2422019618057425,Manitoba,0.002701
2422019618057425,New Brunswick,0.005338
2422019618057425,Newfoundland and Labrador,0.000352
2422019618057425,Nova Scotia,0.002245
2422019618057425,Ontario,0.031935
2422019618057425,Quebec,0.941364
2422019618057425,Saskatchewan,0.001345
2422019618057425,Yukon,0.000635
2422019618057425,Nunavut,0.000115
2422019618057425,Northwest Territories,0
