ad_id,region,percentage
549432125790752,Northwest Territories,1
549432125790752,Nova Scotia,0
549432125790752,British Columbia,0
549432125790752,Yukon,0
549432125790752,Alberta,0
549432125790752,Saskatchewan,0
549432125790752,Manitoba,0
549432125790752,Prince Edward Island,0
549432125790752,Newfoundland and Labrador,0
549432125790752,Quebec,0
549432125790752,New Brunswick,0
549432125790752,Nunavut,0
549432125790752,Ontario,0
1344663989044093,Yukon,1
1344663989044093,Northwest Territories,0
1344663989044093,Nova Scotia,0
1344663989044093,British Columbia,0
1344663989044093,Alberta,0
1344663989044093,Saskatchewan,0
1344663989044093,Manitoba,0
1344663989044093,Prince Edward Island,0
1344663989044093,Newfoundland and Labrador,0
1344663989044093,Quebec,0
1344663989044093,New Brunswick,0
1344663989044093,Nunavut,0
1344663989044093,Ontario,0
1719894481486272,Quebec,1
1719894481486272,Northwest Territories,0
1719894481486272,Nova Scotia,0
1719894481486272,British Columbia,0
1719894481486272,Yukon,0
1719894481486272,Alberta,0
1719894481486272,Saskatchewan,0
1719894481486272,Manitoba,0
1719894481486272,Prince Edward Island,0
1719894481486272,Newfoundland and Labrador,0
1719894481486272,New Brunswick,0
1719894481486272,Nunavut,0
1719894481486272,Ontario,0
2930938753600839,Quebec,1
2930938753600839,Northwest Territories,0
2930938753600839,Nova Scotia,0
2930938753600839,British Columbia,0
2930938753600839,Yukon,0
2930938753600839,Alberta,0
2930938753600839,Saskatchewan,0
2930938753600839,Manitoba,0
2930938753600839,Prince Edward Island,0
2930938753600839,Newfoundland and Labrador,0
2930938753600839,New Brunswick,0
2930938753600839,Nunavut,0
2930938753600839,Ontario,0
377105273193168,Washington,0.000171
377105273193168,British Columbia,0.999829
377105273193168,Northwest Territories,0
377105273193168,Nova Scotia,0
377105273193168,Yukon,0
377105273193168,Alberta,0
377105273193168,Saskatchewan,0
377105273193168,Manitoba,0
377105273193168,Prince Edward Island,0
377105273193168,Newfoundland and Labrador,0
377105273193168,Quebec,0
377105273193168,New Brunswick,0
377105273193168,Nunavut,0
377105273193168,Ontario,0
2470553323230362,Unknown,9.0E-6
2470553323230362,Washington,3.5E-5
2470553323230362,British Columbia,0.999956
2470553323230362,Northwest Territories,0
2470553323230362,Nova Scotia,0
2470553323230362,Yukon,0
2470553323230362,Alberta,0
2470553323230362,Saskatchewan,0
2470553323230362,Manitoba,0
2470553323230362,Prince Edward Island,0
