ad_id,region,percentage
422447821793569,Unknown,0.000367
422447821793569,Alberta,0.165875
422447821793569,British Columbia,0.135882
422447821793569,Manitoba,0.080977
422447821793569,New Brunswick,0.030845
422447821793569,Ontario,0.351494
422447821793569,Prince Edward Island,0.006489
422447821793569,Quebec,0.136536
422447821793569,Saskatchewan,0.077813
422447821793569,Yukon,0.001812
422447821793569,Northwest Territories,0.0046
422447821793569,Nunavut,0.007311
422447821793569,Newfoundland and Labrador,0
422447821793569,Nova Scotia,0
412641376074505,Quebec,1
412641376074505,Alberta,0
412641376074505,Ontario,0
412641376074505,British Columbia,0
412641376074505,Newfoundland and Labrador,0
412641376074505,Prince Edward Island,0
412641376074505,Saskatchewan,0
412641376074505,Manitoba,0
412641376074505,Yukon,0
412641376074505,Northwest Territories,0
412641376074505,Nova Scotia,0
412641376074505,New Brunswick,0
412641376074505,Nunavut,0
3053270341355852,Quebec,1
3053270341355852,Alberta,0
3053270341355852,Ontario,0
3053270341355852,British Columbia,0
3053270341355852,Newfoundland and Labrador,0
3053270341355852,Prince Edward Island,0
3053270341355852,Saskatchewan,0
3053270341355852,Manitoba,0
3053270341355852,Yukon,0
3053270341355852,Northwest Territories,0
3053270341355852,Nova Scotia,0
3053270341355852,New Brunswick,0
3053270341355852,Nunavut,0
751345961998816,Quebec,1
751345961998816,Alberta,0
751345961998816,Ontario,0
751345961998816,British Columbia,0
751345961998816,Newfoundland and Labrador,0
751345961998816,Prince Edward Island,0
751345961998816,Saskatchewan,0
751345961998816,Manitoba,0
751345961998816,Yukon,0
751345961998816,Northwest Territories,0
751345961998816,Nova Scotia,0
751345961998816,New Brunswick,0
751345961998816,Nunavut,0
400886240826845,Ontario,7.6E-5
400886240826845,Quebec,0.999924
400886240826845,Alberta,0
400886240826845,British Columbia,0
400886240826845,Newfoundland and Labrador,0
400886240826845,Prince Edward Island,0
400886240826845,Saskatchewan,0
400886240826845,Manitoba,0
400886240826845,Yukon,0
400886240826845,Northwest Territories,0
400886240826845,Nova Scotia,0
400886240826845,New Brunswick,0
400886240826845,Nunavut,0
411287506477040,Quebec,1
411287506477040,Alberta,0
411287506477040,Ontario,0
411287506477040,British Columbia,0
411287506477040,Newfoundland and Labrador,0
411287506477040,Prince Edward Island,0
411287506477040,Saskatchewan,0
411287506477040,Manitoba,0
411287506477040,Yukon,0
411287506477040,Northwest Territories,0
411287506477040,Nova Scotia,0
411287506477040,New Brunswick,0
411287506477040,Nunavut,0
2614672335249842,Quebec,1
2614672335249842,Alberta,0
2614672335249842,Ontario,0
2614672335249842,British Columbia,0
2614672335249842,Newfoundland and Labrador,0
2614672335249842,Prince Edward Island,0
2614672335249842,Saskatchewan,0
2614672335249842,Manitoba,0
2614672335249842,Yukon,0
2614672335249842,Northwest Territories,0
2614672335249842,Nova Scotia,0
2614672335249842,New Brunswick,0
2614672335249842,Nunavut,0
2703891559642689,Quebec,1
2703891559642689,Alberta,0
2703891559642689,Ontario,0
2703891559642689,British Columbia,0
2703891559642689,Newfoundland and Labrador,0
2703891559642689,Prince Edward Island,0
2703891559642689,Saskatchewan,0
2703891559642689,Manitoba,0
2703891559642689,Yukon,0
2703891559642689,Northwest Territories,0
2703891559642689,Nova Scotia,0
2703891559642689,New Brunswick,0
2703891559642689,Nunavut,0
477591259505175,Ontario,1
477591259505175,Alberta,0
477591259505175,British Columbia,0
477591259505175,Quebec,0
477591259505175,Newfoundland and Labrador,0
477591259505175,Prince Edward Island,0
477591259505175,Saskatchewan,0
477591259505175,Manitoba,0
477591259505175,Yukon,0
477591259505175,Northwest Territories,0
477591259505175,Nova Scotia,0
477591259505175,New Brunswick,0
477591259505175,Nunavut,0
571205486956859,Ontario,1
571205486956859,Alberta,0
571205486956859,British Columbia,0
571205486956859,Quebec,0
571205486956859,Newfoundland and Labrador,0
571205486956859,Prince Edward Island,0
571205486956859,Saskatchewan,0
571205486956859,Manitoba,0
571205486956859,Yukon,0
571205486956859,Northwest Territories,0
571205486956859,Nova Scotia,0
571205486956859,New Brunswick,0
571205486956859,Nunavut,0
935391553509987,Ontario,1
935391553509987,Alberta,0
935391553509987,British Columbia,0
935391553509987,Quebec,0
935391553509987,Newfoundland and Labrador,0
935391553509987,Prince Edward Island,0
935391553509987,Saskatchewan,0
935391553509987,Manitoba,0
935391553509987,Yukon,0
935391553509987,Northwest Territories,0
935391553509987,Nova Scotia,0
935391553509987,New Brunswick,0
935391553509987,Nunavut,0
2744858318870208,Ontario,1
2744858318870208,Alberta,0
2744858318870208,British Columbia,0
2744858318870208,Quebec,0
2744858318870208,Newfoundland and Labrador,0
2744858318870208,Prince Edward Island,0
2744858318870208,Saskatchewan,0
2744858318870208,Manitoba,0
2744858318870208,Yukon,0
2744858318870208,Northwest Territories,0
2744858318870208,Nova Scotia,0
2744858318870208,New Brunswick,0
2744858318870208,Nunavut,0
408154763469795,British Columbia,1
408154763469795,Alberta,0
408154763469795,Ontario,0
408154763469795,Quebec,0
408154763469795,Newfoundland and Labrador,0
408154763469795,Prince Edward Island,0
408154763469795,Saskatchewan,0
408154763469795,Manitoba,0
408154763469795,Yukon,0
408154763469795,Northwest Territories,0
408154763469795,Nova Scotia,0
408154763469795,New Brunswick,0
408154763469795,Nunavut,0
571880780286676,British Columbia,1
571880780286676,Alberta,0
571880780286676,Ontario,0
571880780286676,Quebec,0
571880780286676,Newfoundland and Labrador,0
571880780286676,Prince Edward Island,0
571880780286676,Saskatchewan,0
571880780286676,Manitoba,0
571880780286676,Yukon,0
571880780286676,Northwest Territories,0
571880780286676,Nova Scotia,0
571880780286676,New Brunswick,0
571880780286676,Nunavut,0
2112991908800357,British Columbia,1
2112991908800357,Alberta,0
2112991908800357,Ontario,0
2112991908800357,Quebec,0
2112991908800357,Newfoundland and Labrador,0
2112991908800357,Prince Edward Island,0
2112991908800357,Saskatchewan,0
2112991908800357,Manitoba,0
2112991908800357,Yukon,0
2112991908800357,Northwest Territories,0
2112991908800357,Nova Scotia,0
2112991908800357,New Brunswick,0
2112991908800357,Nunavut,0
2150607948574810,British Columbia,1
2150607948574810,Alberta,0
2150607948574810,Ontario,0
2150607948574810,Quebec,0
2150607948574810,Newfoundland and Labrador,0
2150607948574810,Prince Edward Island,0
2150607948574810,Saskatchewan,0
2150607948574810,Manitoba,0
2150607948574810,Yukon,0
2150607948574810,Northwest Territories,0
2150607948574810,Nova Scotia,0
2150607948574810,New Brunswick,0
2150607948574810,Nunavut,0
2457058207884679,British Columbia,1
2457058207884679,Alberta,0
2457058207884679,Ontario,0
2457058207884679,Quebec,0
2457058207884679,Newfoundland and Labrador,0
2457058207884679,Prince Edward Island,0
2457058207884679,Saskatchewan,0
2457058207884679,Manitoba,0
2457058207884679,Yukon,0
2457058207884679,Northwest Territories,0
2457058207884679,Nova Scotia,0
2457058207884679,New Brunswick,0
2457058207884679,Nunavut,0
3120910891314799,British Columbia,1
3120910891314799,Alberta,0
3120910891314799,Ontario,0
3120910891314799,Quebec,0
3120910891314799,Newfoundland and Labrador,0
3120910891314799,Prince Edward Island,0
3120910891314799,Saskatchewan,0
3120910891314799,Manitoba,0
3120910891314799,Yukon,0
3120910891314799,Northwest Territories,0
3120910891314799,Nova Scotia,0
3120910891314799,New Brunswick,0
3120910891314799,Nunavut,0
2858299694180398,New Brunswick,0.000185
2858299694180398,Ontario,0.000463
2858299694180398,Prince Edward Island,2.0E-6
2858299694180398,Quebec,0.999266
2858299694180398,Nunavut,8.4E-5
2858299694180398,Alberta,0
2858299694180398,British Columbia,0
2858299694180398,Newfoundland and Labrador,0
2858299694180398,Saskatchewan,0
2858299694180398,Manitoba,0
2858299694180398,Yukon,0
2858299694180398,Northwest Territories,0
2858299694180398,Nova Scotia,0
385102575732883,Ontario,1
385102575732883,Alberta,0
385102575732883,British Columbia,0
385102575732883,Quebec,0
385102575732883,Newfoundland and Labrador,0
385102575732883,Prince Edward Island,0
385102575732883,Saskatchewan,0
385102575732883,Manitoba,0
385102575732883,Yukon,0
385102575732883,Northwest Territories,0
385102575732883,Nova Scotia,0
385102575732883,New Brunswick,0
385102575732883,Nunavut,0
2398265307100806,Quebec,1
2398265307100806,Alberta,0
2398265307100806,Ontario,0
2398265307100806,British Columbia,0
2398265307100806,Newfoundland and Labrador,0
2398265307100806,Prince Edward Island,0
2398265307100806,Saskatchewan,0
2398265307100806,Manitoba,0
2398265307100806,Yukon,0
2398265307100806,Northwest Territories,0
2398265307100806,Nova Scotia,0
2398265307100806,New Brunswick,0
2398265307100806,Nunavut,0
936817766695390,Unknown,0.000205
936817766695390,Alberta,0.075023
936817766695390,British Columbia,0.03341
936817766695390,Manitoba,0.045915
936817766695390,New Brunswick,0.080809
936817766695390,Newfoundland and Labrador,0.09156
936817766695390,Nova Scotia,0.094887
936817766695390,Ontario,0.348294
936817766695390,Prince Edward Island,0.017012
936817766695390,Quebec,0.166124
936817766695390,Saskatchewan,0.036745
936817766695390,Yukon,0.000565
936817766695390,Northwest Territories,0.001909
936817766695390,Nunavut,0.007539
560752828096648,Quebec,1
560752828096648,Alberta,0
560752828096648,Ontario,0
560752828096648,British Columbia,0
560752828096648,Newfoundland and Labrador,0
560752828096648,Prince Edward Island,0
560752828096648,Saskatchewan,0
560752828096648,Manitoba,0
560752828096648,Yukon,0
560752828096648,Northwest Territories,0
560752828096648,Nova Scotia,0
560752828096648,New Brunswick,0
560752828096648,Nunavut,0
519560995268133,Unknown,0.000527
519560995268133,Alberta,0.079223
519560995268133,British Columbia,0.034343
519560995268133,Manitoba,0.052848
519560995268133,New Brunswick,0.083108
519560995268133,Newfoundland and Labrador,0.096246
519560995268133,Nova Scotia,0.094238
519560995268133,Ontario,0.367863
519560995268133,Prince Edward Island,0.016892
519560995268133,Quebec,0.127231
519560995268133,Saskatchewan,0.037175
519560995268133,Yukon,0.000461
519560995268133,Northwest Territories,0.002041
519560995268133,Nunavut,0.007804
404680377113377,Unknown,0.000299
404680377113377,Alberta,0.128395
404680377113377,British Columbia,0.06039
404680377113377,Manitoba,0.06382
404680377113377,New Brunswick,0.050855
404680377113377,Newfoundland and Labrador,0.065843
404680377113377,Nova Scotia,0.05735
404680377113377,Ontario,0.315252
404680377113377,Prince Edward Island,0.013426
404680377113377,Quebec,0.169726
404680377113377,Saskatchewan,0.061606
404680377113377,Yukon,0.001089
404680377113377,Northwest Territories,0.003687
404680377113377,Nunavut,0.00826
1332123080299586,Alberta,0.05802
1332123080299586,British Columbia,0.037543
1332123080299586,Manitoba,0.075085
1332123080299586,New Brunswick,0.047782
1332123080299586,Newfoundland and Labrador,0.119454
1332123080299586,Nova Scotia,0.068259
1332123080299586,Ontario,0.423208
1332123080299586,Prince Edward Island,0.013652
1332123080299586,Quebec,0.122867
1332123080299586,Saskatchewan,0.020478
1332123080299586,Nunavut,0.013652
1332123080299586,Yukon,0
1332123080299586,Northwest Territories,0
508095700034616,British Columbia,1
508095700034616,Alberta,0
508095700034616,Ontario,0
508095700034616,Quebec,0
508095700034616,Newfoundland and Labrador,0
508095700034616,Prince Edward Island,0
508095700034616,Saskatchewan,0
508095700034616,Manitoba,0
508095700034616,Yukon,0
508095700034616,Northwest Territories,0
508095700034616,Nova Scotia,0
508095700034616,New Brunswick,0
508095700034616,Nunavut,0
562613111211180,British Columbia,1
562613111211180,Alberta,0
562613111211180,Ontario,0
562613111211180,Quebec,0
562613111211180,Newfoundland and Labrador,0
562613111211180,Prince Edward Island,0
562613111211180,Saskatchewan,0
562613111211180,Manitoba,0
562613111211180,Yukon,0
562613111211180,Northwest Territories,0
562613111211180,Nova Scotia,0
562613111211180,New Brunswick,0
562613111211180,Nunavut,0
2437932966478377,British Columbia,1
2437932966478377,Alberta,0
2437932966478377,Ontario,0
2437932966478377,Quebec,0
2437932966478377,Newfoundland and Labrador,0
2437932966478377,Prince Edward Island,0
2437932966478377,Saskatchewan,0
2437932966478377,Manitoba,0
2437932966478377,Yukon,0
2437932966478377,Northwest Territories,0
2437932966478377,Nova Scotia,0
2437932966478377,New Brunswick,0
2437932966478377,Nunavut,0
538760470286356,British Columbia,1
538760470286356,Alberta,0
538760470286356,Ontario,0
538760470286356,Quebec,0
538760470286356,Newfoundland and Labrador,0
538760470286356,Prince Edward Island,0
538760470286356,Saskatchewan,0
538760470286356,Manitoba,0
538760470286356,Yukon,0
538760470286356,Northwest Territories,0
538760470286356,Nova Scotia,0
538760470286356,New Brunswick,0
538760470286356,Nunavut,0
782290308879319,British Columbia,1
782290308879319,Alberta,0
782290308879319,Ontario,0
782290308879319,Quebec,0
782290308879319,Newfoundland and Labrador,0
782290308879319,Prince Edward Island,0
782290308879319,Saskatchewan,0
782290308879319,Manitoba,0
782290308879319,Yukon,0
782290308879319,Northwest Territories,0
782290308879319,Nova Scotia,0
782290308879319,New Brunswick,0
782290308879319,Nunavut,0
1393608294138514,British Columbia,1
1393608294138514,Alberta,0
1393608294138514,Ontario,0
1393608294138514,Quebec,0
1393608294138514,Newfoundland and Labrador,0
1393608294138514,Prince Edward Island,0
1393608294138514,Saskatchewan,0
1393608294138514,Manitoba,0
1393608294138514,Yukon,0
1393608294138514,Northwest Territories,0
1393608294138514,Nova Scotia,0
1393608294138514,New Brunswick,0
1393608294138514,Nunavut,0
1785058731795625,British Columbia,1
1785058731795625,Alberta,0
1785058731795625,Ontario,0
1785058731795625,Quebec,0
1785058731795625,Newfoundland and Labrador,0
1785058731795625,Prince Edward Island,0
1785058731795625,Saskatchewan,0
1785058731795625,Manitoba,0
1785058731795625,Yukon,0
1785058731795625,Northwest Territories,0
1785058731795625,Nova Scotia,0
1785058731795625,New Brunswick,0
1785058731795625,Nunavut,0
404293570484637,Manitoba,0.166667
404293570484637,Ontario,0.666667
404293570484637,Quebec,0.166667
404293570484637,Alberta,0
404293570484637,British Columbia,0
404293570484637,Newfoundland and Labrador,0
404293570484637,Prince Edward Island,0
404293570484637,Saskatchewan,0
404293570484637,Yukon,0
404293570484637,Northwest Territories,0
404293570484637,Nova Scotia,0
404293570484637,New Brunswick,0
404293570484637,Nunavut,0
774207456366039,Alberta,0.076433
774207456366039,British Columbia,0.089172
774207456366039,Manitoba,0.044586
774207456366039,New Brunswick,0.031847
774207456366039,Newfoundland and Labrador,0.019108
774207456366039,Nova Scotia,0.038217
774207456366039,Ontario,0.566879
774207456366039,Quebec,0.095541
774207456366039,Saskatchewan,0.019108
774207456366039,Yukon,0.006369
774207456366039,Northwest Territories,0.012739
774207456366039,Nunavut,0
774207456366039,Prince Edward Island,0
2196856510613768,Alberta,0.166667
2196856510613768,Nova Scotia,0.1
2196856510613768,Ontario,0.566667
2196856510613768,British Columbia,0.066667
2196856510613768,Quebec,0.066667
2196856510613768,Saskatchewan,0.033333
2196856510613768,Newfoundland and Labrador,0
