ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
411101826476009,60266912006,Liberal Party of Canada | Parti libéral du Canada,""" Obama made the announcement on Twitter Wednesday, touting Trudeau as a “hard-working, effective leader” who takes on big issues like climate change.""",huffingtonpost.ca,"The former U.S. president called the Liberal leader a ""hard-working, effective leader.""","""Barack Obama Endorses Justin Trudeau’s Liberals For Re-Election""",2019-10-20,2019-10-20,Liberal Party of Canada | Parti libéral du Canada,9000,9999,100,199,https://www.facebook.com/ads/library/?id=411101826476009
456974531842744,60266912006,Liberal Party of Canada | Parti libéral du Canada,"«J’ai été fier de travailler avec Justin Trudeau comme président. Il est un leader travaillant et efficace qui s’attaque à des enjeux majeurs comme les changements climatiques», a-t-il écrit sur Twitter.",lapresse.ca,Barack Obama s’invite dans la campagne électorale : l’ancien président américain offre son appui au chef libéral Justin Trudeau et invite les Canadiens à l...,«Justin Trudeau reçoit l’appui de Barack Obama »,2019-10-20,2019-10-20,Liberal Party of Canada | Parti libéral du Canada,10000,14999,0,99,https://www.facebook.com/ads/library/?id=456974531842744
542626089881270,60266912006,Liberal Party of Canada | Parti libéral du Canada,""" Obama made the announcement on Twitter Wednesday, touting Trudeau as a “hard-working, effective leader” who takes on big issues like climate change.""",huffingtonpost.ca,"The former U.S. president called the Liberal leader a ""hard-working, effective leader.""","""Barack Obama Endorses Justin Trudeau’s Liberals For Re-Election""",2019-10-20,2019-10-20,Liberal Party of Canada | Parti libéral du Canada,0,999,0,99,https://www.facebook.com/ads/library/?id=542626089881270
2416643715272917,60266912006,Liberal Party of Canada | Parti libéral du Canada,"«J’ai été fier de travailler avec Justin Trudeau comme président. Il est un leader travaillant et efficace qui s’attaque à des enjeux majeurs comme les changements climatiques», a-t-il écrit sur Twitter.",lapresse.ca,Barack Obama s’invite dans la campagne électorale : l’ancien président américain offre son appui au chef libéral Justin Trudeau et invite les Canadiens à l...,«Justin Trudeau reçoit l’appui de Barack Obama »,2019-10-20,2019-10-20,Liberal Party of Canada | Parti libéral du Canada,15000,19999,100,199,https://www.facebook.com/ads/library/?id=2416643715272917
521097761793364,60266912006,Liberal Party of Canada | Parti libéral du Canada,"«J’ai été fier de travailler avec Justin Trudeau comme président. Il est un leader travaillant et efficace qui s’attaque à des enjeux majeurs comme les changements climatiques», a-t-il écrit sur Twitter.",lapresse.ca,Barack Obama s’invite dans la campagne électorale : l’ancien président américain offre son appui au chef libéral Justin Trudeau et invite les Canadiens à l...,«Justin Trudeau reçoit l’appui de Barack Obama »,2019-10-20,2019-10-20,Liberal Party of Canada | Parti libéral du Canada,10000,14999,100,199,https://www.facebook.com/ads/library/?id=521097761793364
2203543016608906,60266912006,Liberal Party of Canada | Parti libéral du Canada,"«J’ai été fier de travailler avec Justin Trudeau comme président. Il est un leader travaillant et efficace qui s’attaque à des enjeux majeurs comme les changements climatiques», a-t-il écrit sur Twitter.",lapresse.ca,Barack Obama s’invite dans la campagne électorale : l’ancien président américain offre son appui au chef libéral Justin Trudeau et invite les Canadiens à l...,«Justin Trudeau reçoit l’appui de Barack Obama »,2019-10-20,2019-10-20,Liberal Party of Canada | Parti libéral du Canada,3000,3999,0,99,https://www.facebook.com/ads/library/?id=2203543016608906
524623925040244,60266912006,Liberal Party of Canada | Parti libéral du Canada,"«J’ai été fier de travailler avec Justin Trudeau comme président. Il est un leader travaillant et efficace qui s’attaque à des enjeux majeurs comme les changements climatiques», a-t-il écrit sur Twitter.",lapresse.ca,Barack Obama s’invite dans la campagne électorale : l’ancien président américain offre son appui au chef libéral Justin Trudeau et invite les Canadiens à l...,«Justin Trudeau reçoit l’appui de Barack Obama »,2019-10-20,2019-10-21,Liberal Party of Canada | Parti libéral du Canada,2000,2999,0,99,https://www.facebook.com/ads/library/?id=524623925040244
407200923506623,60266912006,Liberal Party of Canada | Parti libéral du Canada,This is an incredibly important election. Join millions of Canadians who are voting on MONDAY – it’s fast and easy!,how2vote.ca,,Find where to vote →,2019-10-19,2019-10-20,Liberal Party of Canada | Parti libéral du Canada,25000,29999,1500,1999,https://www.facebook.com/ads/library/?id=407200923506623
455056731801951,60266912006,Liberal Party of Canada | Parti libéral du Canada,This is an incredibly important election. Join millions of Canadians who are voting on MONDAY – it’s fast and easy!,how2vote.ca,,Find where to vote →,2019-10-19,2019-10-20,Liberal Party of Canada | Parti libéral du Canada,0,999,0,99,https://www.facebook.com/ads/library/?id=455056731801951
970495236647866,60266912006,Liberal Party of Canada | Parti libéral du Canada,This is an incredibly important election. Join millions of Canadians who are voting on MONDAY – it’s fast and easy!,how2vote.ca,,Find where to vote →,2019-10-19,2019-10-20,Liberal Party of Canada | Parti libéral du Canada,80000,89999,3500,3999,https://www.facebook.com/ads/library/?id=970495236647866
519286985469883,60266912006,Liberal Party of Canada | Parti libéral du Canada,This is an incredibly important election. Join millions of Canadians who are voting on MONDAY – it’s fast and easy!,how2vote.ca,,Find where to vote →,2019-10-19,2019-10-20,Liberal Party of Canada | Parti libéral du Canada,150000,174999,2500,2999,https://www.facebook.com/ads/library/?id=519286985469883
401798707429595,60266912006,Liberal Party of Canada | Parti libéral du Canada,Il s’agit d’une élection d’une importance incroyable et votre voix compte. N’oubliez pas d’aller voter ce lundi 21 octobre! 2. Avez-vous pensé au moment où vous allez voter lundi?,www.liberal.ca,,Trouvez où vous allez voter →,2019-10-19,2019-10-20,Liberal Party of Canada | Parti libéral du Canada,30000,34999,400,499,https://www.facebook.com/ads/library/?id=401798707429595
678532905885774,60266912006,Liberal Party of Canada | Parti libéral du Canada,Il s’agit d’une élection d’une importance incroyable et votre voix compte. N’oubliez pas d’aller voter ce lundi 21 octobre! 2. Avez-vous pensé au moment où vous allez voter lundi?,www.liberal.ca,,Faites un plan de vote →,2019-10-19,2019-10-20,Liberal Party of Canada | Parti libéral du Canada,0,999,0,99,https://www.facebook.com/ads/library/?id=678532905885774
927956817587457,60266912006,Liberal Party of Canada | Parti libéral du Canada,This is an incredibly important election. Join millions of Canadians who are voting on MONDAY – it’s fast and easy!,how2vote.ca,,Make a plan to vote →,2019-10-19,2019-10-20,Liberal Party of Canada | Parti libéral du Canada,80000,89999,1000,1499,https://www.facebook.com/ads/library/?id=927956817587457
