ad_id,age,gender,percentage
411101826476009,55-64,male,0.029286
411101826476009,65+,female,0.03304
411101826476009,65+,unknown,0.00236
411101826476009,25-34,unknown,0.005149
411101826476009,65+,male,0.019738
411101826476009,35-44,unknown,0.007295
411101826476009,55-64,unknown,0.001502
411101826476009,45-54,unknown,0.00354
411101826476009,45-54,female,0.077237
411101826476009,25-34,female,0.168312
411101826476009,45-54,male,0.054066
411101826476009,18-24,male,0.092899
411101826476009,18-24,female,0.102982
411101826476009,35-44,male,0.085282
411101826476009,35-44,female,0.13259
411101826476009,25-34,male,0.143639
411101826476009,55-64,female,0.040657
411101826476009,18-24,unknown,0.000429
456974531842744,18-24,male,0.108966
456974531842744,65+,male,0.023891
456974531842744,65+,unknown,0.000529
456974531842744,25-34,unknown,0.002997
456974531842744,45-54,unknown,0.001322
456974531842744,55-64,unknown,0.00097
456974531842744,35-44,unknown,0.005025
456974531842744,55-64,male,0.034823
456974531842744,45-54,male,0.059596
456974531842744,45-54,female,0.070793
456974531842744,25-34,male,0.130124
456974531842744,35-44,male,0.089394
456974531842744,55-64,female,0.059949
456974531842744,25-34,female,0.138852
456974531842744,18-24,female,0.126069
456974531842744,65+,female,0.042669
456974531842744,35-44,female,0.103853
456974531842744,18-24,unknown,0.000176
542626089881270,25-34,female,0.101695
542626089881270,35-44,male,0.135593
542626089881270,65+,female,0.050847
542626089881270,18-24,male,0.118644
542626089881270,45-54,female,0.118644
542626089881270,45-54,male,0.033898
542626089881270,65+,male,0.033898
542626089881270,35-44,female,0.067797
542626089881270,18-24,female,0.084746
542626089881270,25-34,male,0.186441
542626089881270,55-64,male,0.016949
542626089881270,55-64,female,0.016949
542626089881270,45-54,unknown,0.016949
542626089881270,55-64,unknown,0.016949
542626089881270,18-24,unknown,0
542626089881270,65+,unknown,0
542626089881270,35-44,unknown,0
542626089881270,25-34,unknown,0
2416643715272917,45-54,female,0.038758
2416643715272917,55-64,female,0.025449
2416643715272917,55-64,unknown,0.000799
2416643715272917,18-24,unknown,0.000958
2416643715272917,35-44,unknown,0.003833
2416643715272917,25-34,unknown,0.00362
2416643715272917,45-54,unknown,0.001704
2416643715272917,55-64,male,0.016345
2416643715272917,65+,male,0.013257
2416643715272917,18-24,male,0.159985
2416643715272917,45-54,male,0.036682
2416643715272917,35-44,male,0.069158
2416643715272917,25-34,female,0.156258
2416643715272917,65+,female,0.021296
2416643715272917,25-34,male,0.146143
2416643715272917,35-44,female,0.071288
2416643715272917,18-24,female,0.233882
2416643715272917,65+,unknown,0.000586
521097761793364,25-34,female,0.127672
521097761793364,55-64,male,0.030075
521097761793364,65+,unknown,0.000958
521097761793364,45-54,unknown,0.003759
521097761793364,55-64,unknown,0.001327
521097761793364,25-34,unknown,0.003907
521097761793364,35-44,unknown,0.007298
521097761793364,35-44,female,0.10976
521097761793364,45-54,male,0.062141
521097761793364,18-24,female,0.150229
521097761793364,45-54,female,0.077326
521097761793364,65+,female,0.032434
521097761793364,35-44,male,0.088162
521097761793364,25-34,male,0.120669
521097761793364,65+,male,0.016659
521097761793364,55-64,female,0.043344
521097761793364,18-24,male,0.123618
521097761793364,18-24,unknown,0.000663
2203543016608906,35-44,female,0.088586
2203543016608906,25-34,female,0.094719
2203543016608906,65+,unknown,0.003407
2203543016608906,55-64,unknown,0.003066
2203543016608906,45-54,unknown,0.003407
2203543016608906,25-34,unknown,0.002726
2203543016608906,35-44,unknown,0.002726
2203543016608906,18-24,female,0.094378
2203543016608906,18-24,male,0.078365
2203543016608906,65+,female,0.0954
2203543016608906,55-64,female,0.065758
2203543016608906,55-64,male,0.051448
2203543016608906,45-54,female,0.067462
2203543016608906,45-54,male,0.063373
2203543016608906,65+,male,0.054514
2203543016608906,25-34,male,0.127768
2203543016608906,35-44,male,0.102215
2203543016608906,18-24,unknown,0.000681
524623925040244,25-34,female,0.081991
524623925040244,18-24,male,0.064455
524623925040244,18-24,unknown,0.000948
524623925040244,65+,unknown,0.004265
524623925040244,55-64,unknown,0.00237
524623925040244,35-44,unknown,0.003791
