ad_id,region,percentage
411101826476009,Ontario,1
411101826476009,Northwest Territories,0
411101826476009,Quebec,0
411101826476009,British Columbia,0
411101826476009,Alberta,0
411101826476009,Newfoundland and Labrador,0
411101826476009,Prince Edward Island,0
411101826476009,Nunavut,0
411101826476009,New Brunswick,0
411101826476009,Saskatchewan,0
411101826476009,Yukon,0
411101826476009,Manitoba,0
411101826476009,Nova Scotia,0
456974531842744,Quebec,1
456974531842744,Ontario,0
456974531842744,Northwest Territories,0
456974531842744,British Columbia,0
456974531842744,Alberta,0
456974531842744,Newfoundland and Labrador,0
456974531842744,Prince Edward Island,0
456974531842744,Nunavut,0
456974531842744,New Brunswick,0
456974531842744,Saskatchewan,0
456974531842744,Yukon,0
456974531842744,Manitoba,0
456974531842744,Nova Scotia,0
542626089881270,Ontario,1
542626089881270,Northwest Territories,0
542626089881270,Quebec,0
542626089881270,British Columbia,0
542626089881270,Alberta,0
542626089881270,Newfoundland and Labrador,0
542626089881270,Prince Edward Island,0
542626089881270,Nunavut,0
542626089881270,New Brunswick,0
542626089881270,Saskatchewan,0
542626089881270,Yukon,0
542626089881270,Manitoba,0
542626089881270,Nova Scotia,0
2416643715272917,Quebec,1
2416643715272917,Ontario,0
2416643715272917,Northwest Territories,0
2416643715272917,British Columbia,0
2416643715272917,Alberta,0
2416643715272917,Newfoundland and Labrador,0
2416643715272917,Prince Edward Island,0
2416643715272917,Nunavut,0
2416643715272917,New Brunswick,0
2416643715272917,Saskatchewan,0
2416643715272917,Yukon,0
2416643715272917,Manitoba,0
2416643715272917,Nova Scotia,0
521097761793364,Quebec,1
521097761793364,Ontario,0
521097761793364,Northwest Territories,0
521097761793364,British Columbia,0
521097761793364,Alberta,0
521097761793364,Newfoundland and Labrador,0
521097761793364,Prince Edward Island,0
521097761793364,Nunavut,0
521097761793364,New Brunswick,0
521097761793364,Saskatchewan,0
521097761793364,Yukon,0
521097761793364,Manitoba,0
521097761793364,Nova Scotia,0
2203543016608906,New Brunswick,0.000335
2203543016608906,Quebec,0.999665
2203543016608906,Ontario,0
2203543016608906,Northwest Territories,0
2203543016608906,British Columbia,0
2203543016608906,Alberta,0
2203543016608906,Newfoundland and Labrador,0
2203543016608906,Prince Edward Island,0
2203543016608906,Nunavut,0
2203543016608906,Saskatchewan,0
2203543016608906,Yukon,0
2203543016608906,Manitoba,0
2203543016608906,Nova Scotia,0
524623925040244,Ontario,0.000471
524623925040244,Quebec,0.999529
524623925040244,Northwest Territories,0
524623925040244,British Columbia,0
524623925040244,Alberta,0
524623925040244,Newfoundland and Labrador,0
524623925040244,Prince Edward Island,0
524623925040244,Nunavut,0
524623925040244,New Brunswick,0
524623925040244,Saskatchewan,0
524623925040244,Yukon,0
524623925040244,Manitoba,0
524623925040244,Nova Scotia,0
407200923506623,British Columbia,0.136759
407200923506623,Manitoba,0.050418
407200923506623,New Brunswick,0.072334
407200923506623,Newfoundland and Labrador,0.088021
407200923506623,Nova Scotia,0.068181
407200923506623,Ontario,0.370686
407200923506623,Quebec,0.168574
407200923506623,Saskatchewan,0.044983
407200923506623,Nunavut,4.4E-5
407200923506623,Yukon,0
407200923506623,Northwest Territories,0
407200923506623,Alberta,0
407200923506623,Prince Edward Island,0
455056731801951,British Columbia,0.141319
455056731801951,Manitoba,0.048452
455056731801951,New Brunswick,0.064603
455056731801951,Newfoundland and Labrador,0.048452
455056731801951,Nova Scotia,0.117093
455056731801951,Ontario,0.444145
455056731801951,Quebec,0.067295
455056731801951,Saskatchewan,0.068641
455056731801951,Northwest Territories,0
455056731801951,Alberta,0
455056731801951,Prince Edward Island,0
455056731801951,Nunavut,0
455056731801951,Yukon,0
970495236647866,Alberta,0.00016
970495236647866,British Columbia,0.152089
970495236647866,Manitoba,0.049862
970495236647866,New Brunswick,0.047584
970495236647866,Newfoundland and Labrador,0.044279
970495236647866,Nova Scotia,0.08798
970495236647866,Ontario,0.475839
970495236647866,Quebec,0.080825
970495236647866,Saskatchewan,0.061317
970495236647866,Nunavut,6.4E-5
970495236647866,Yukon,0
970495236647866,Northwest Territories,0
970495236647866,Prince Edward Island,0
519286985469883,British Columbia,0.10711
519286985469883,Manitoba,0.038974
519286985469883,New Brunswick,0.013642
519286985469883,Nova Scotia,0.071452
519286985469883,Ontario,0.605789
519286985469883,Prince Edward Island,0.01871
519286985469883,Quebec,0.138743
519286985469883,Northwest Territories,0.005581
519286985469883,Alberta,0
519286985469883,Newfoundland and Labrador,0
519286985469883,Nunavut,0
519286985469883,Yukon,0
519286985469883,Saskatchewan,0
401798707429595,British Columbia,0.001368
401798707429595,Manitoba,0.001114
401798707429595,New Brunswick,0.110475
401798707429595,Nova Scotia,0.002127
401798707429595,Ontario,0.04341
401798707429595,Prince Edward Island,0.000658
401798707429595,Quebec,0.840442
401798707429595,Northwest Territories,0.000405
401798707429595,Alberta,0
401798707429595,Newfoundland and Labrador,0
401798707429595,Nunavut,0
401798707429595,Yukon,0
401798707429595,Saskatchewan,0
678532905885774,Nova Scotia,0.009009
678532905885774,Ontario,0.063063
678532905885774,Prince Edward Island,0.009009
678532905885774,New Brunswick,0.063063
678532905885774,Quebec,0.846847
678532905885774,Northwest Territories,0.009009
678532905885774,British Columbia,0
678532905885774,Alberta,0
678532905885774,Newfoundland and Labrador,0
678532905885774,Nunavut,0
678532905885774,Saskatchewan,0
678532905885774,Yukon,0
678532905885774,Manitoba,0
927956817587457,British Columbia,0.087533
927956817587457,Manitoba,0.041046
927956817587457,New Brunswick,0.026077
927956817587457,Nova Scotia,0.113399
927956817587457,Ontario,0.556569
927956817587457,Prince Edward Island,0.025491
927956817587457,Quebec,0.137603
927956817587457,Northwest Territories,0.012281
927956817587457,Alberta,0
927956817587457,Newfoundland and Labrador,0
927956817587457,Nunavut,0
927956817587457,Yukon,0
927956817587457,Saskatchewan,0
2435136716539651,Northwest Territories,0.000539
2435136716539651,British Columbia,0.001078
2435136716539651,Manitoba,0.001078
2435136716539651,New Brunswick,0.127021
2435136716539651,Nova Scotia,0.003953
2435136716539651,Ontario,0.0424
2435136716539651,Prince Edward Island,0.000898
2435136716539651,Quebec,0.823033
2435136716539651,Alberta,0
2435136716539651,Newfoundland and Labrador,0
2435136716539651,Nunavut,0
2435136716539651,Yukon,0
2435136716539651,Saskatchewan,0
429729427930896,British Columbia,0.104873
429729427930896,Manitoba,0.036497
429729427930896,New Brunswick,0.013684
429729427930896,Nova Scotia,0.074298
429729427930896,Ontario,0.606466
429729427930896,Prince Edward Island,0.018281
429729427930896,Quebec,0.139189
429729427930896,Northwest Territories,0.006714
429729427930896,Alberta,0
429729427930896,Newfoundland and Labrador,0
429729427930896,Nunavut,0
429729427930896,Yukon,0
429729427930896,Saskatchewan,0
513813969456613,British Columbia,0.092321
513813969456613,Manitoba,0.03665
513813969456613,New Brunswick,0.023282
513813969456613,Nova Scotia,0.100953
513813969456613,Ontario,0.569487
513813969456613,Prince Edward Island,0.024367
513813969456613,Quebec,0.143191
513813969456613,Northwest Territories,0.009749
513813969456613,Alberta,0
513813969456613,Newfoundland and Labrador,0
513813969456613,Nunavut,0
513813969456613,Yukon,0
513813969456613,Saskatchewan,0
1423522914467908,Northwest Territories,0.002786
1423522914467908,British Columbia,0.002786
1423522914467908,New Brunswick,0.05571
1423522914467908,Ontario,0.094708
1423522914467908,Quebec,0.844011
1423522914467908,Alberta,0
1423522914467908,Newfoundland and Labrador,0
1423522914467908,Prince Edward Island,0
1423522914467908,Nunavut,0
1423522914467908,Saskatchewan,0
1423522914467908,Yukon,0
1423522914467908,Manitoba,0
1423522914467908,Nova Scotia,0
