ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
501038577361114,177161812331407,Jagmeet Singh,"Thanksgiving is a time for family, good food & one more day of early voting.

So I figured this is a good time to showcase one of my favourite meals to cook when the fam gets together.

Punjabi Poutine! It’s like Punjabi & Quebec styles merging.

Happy Thanksgiving!",,,,2019-10-16,2019-10-21,Canada’s NDP / Le NPD du Canada,90000,99999,200,299,https://www.facebook.com/ads/library/?id=501038577361114
414559975872923,177161812331407,Jagmeet Singh,"This is Grassy Narrows, where the devastating impacts of mercury contamination have impacted 3 generations.
We can make sure every community has access to clean water. We just have to make it a priority.",www.ndp.ca,,Choose Different,2019-10-07,2019-10-21,Canada’s NDP / Le NPD du Canada,175000,199999,600,699,https://www.facebook.com/ads/library/?id=414559975872923
623019134894573,177161812331407,Jagmeet Singh,"We need to take a minute and seriously ask ourselves, why is it even a question whether Indigenous communities deserve clean drinking water or not?

It's a matter of priorities, and if I was Prime Minister, I'd get it done. #elxn43",,,This shouldn't even be a question,2019-10-07,2019-10-11,Canada’s NDP / Le NPD du Canada,10000,14999,0,99,https://www.facebook.com/ads/library/?id=623019134894573
487165915412218,177161812331407,Jagmeet Singh,"You're paying some of the highest prices in the world for cell & internet service, while rich cell phone companies like Rogers and Bell make billions in profits every year and the Trudeau Liberals do nothing to fix this.

It doesn't have to be like this – the NDP has a plan to lower your cell phone bill and ensure better internet coverage for all Canadians.",ndp.ca/lower-my-bill,"High speed internet and cell services are a necessity for Canadians – and despite this, broadband access and wireless services are far from being affordable or reliable in Canada.",Lower Cell Phone Bills,2019-08-21,2019-09-30,Canada’s NDP / Le NPD du Canada,90000,99999,800,899,https://www.facebook.com/ads/library/?id=487165915412218
638438183231153,177161812331407,Jagmeet Singh,"You're paying some of the highest prices in the world for cell & internet service, while rich cell phone companies like Rogers and Bell make billions in profits every year and the Trudeau Liberals do nothing to fix this.

It doesn't have to be like this – the NDP has a plan to lower your cell phone bill and ensure better internet coverage for all Canadians.",ndp.ca/lower-my-bill,Learn more and support our plan.,We're going to lower your cell phone bill,2019-08-21,2019-09-30,Canada’s NDP / Le NPD du Canada,125000,149999,800,899,https://www.facebook.com/ads/library/?id=638438183231153
392093478109787,177161812331407,Jagmeet Singh,"When rich corporations ask for tax breaks and handouts, the Trudeau Liberal government does whatever it takes to make it happen – yet federal workers can't even get a decent living wage. It shouldn't be like this. Our New Deal for People will implement a $15/hr federal min wage and help make life more affordable for workers and their families.",thestar.com,"It’s time for Canada to reinstate a federal minimum wage for workers in federally-regulated workplaces and this time it should lead, not follow, provincial governments.",Canada should have a federal minimum wage | The Star,2019-08-12,2019-08-13,Canada’s NDP / Le NPD du Canada,10000,14999,100,199,https://www.facebook.com/ads/library/?id=392093478109787
885344428499088,177161812331407,Jagmeet Singh,"Once again, Prime Minister Trudeau is announcing another stall tactic to avoid pharmacare – a stall tactic that is yet another favour to the richest drug companies while millions of Canadians continue to skip the medicine they need or cut pills in half so a bottle lasts longer, because of the cost.

The NDP is leading the fight to expand medicare to include prescription drug coverage for everyone, regardless of their job status, where they live, their age, their health status, or how much money they make by implementing pharmacare for all: https://www.ndp.ca/pharmacare",theglobeandmail.com,"Overhaul to Canadian system includes omitting U.S., Swiss plans from factoring into maximum prices and forcing drug makers to provide actual worth of medicine",Ottawa medicine board details changes to rules on national drug pricing,2019-08-09,2019-08-10,Canada’s NDP / Le NPD du Canada,10000,14999,100,199,https://www.facebook.com/ads/library/?id=885344428499088
382218812453549,177161812331407,Jagmeet Singh,"Together, we’re going to fight to change the government — from one that works to make life easier for multi-millionaires and big corporations, to one that’s focused on making life better for you and your family.",ndp.ca/commitments,Sign up and support our work.,My commitment to you,2019-08-09,2019-08-30,Canada’s NDP / Le NPD du Canada,300000,349999,1000,1499,https://www.facebook.com/ads/library/?id=382218812453549
2473307552906358,177161812331407,Jagmeet Singh,"I'm determined to make life more affordable for you and your family – join me, and let's fight to form a government that's actually on your side.",www.facebook.com,www.jagmeetsingh.ca,Jagmeet Singh,2019-08-09,2019-09-30,Canada’s NDP / Le NPD du Canada,80000,89999,500,599,https://www.facebook.com/ads/library/?id=2473307552906358
2195238754099468,177161812331407,Jagmeet Singh,"I'm determined to fight for a historic expansion to our universal health care. that means pharmacare, dental, mental health coverage, and more.

Add your name to support our plan – and share your story of what this means to you:",https://www.ndp.ca/health-care,"Jagmeet and the NDP are fighting for health care that covers every Canadian from head to toe. I just joined the fight for expanded vision, dental, and mental health care that covers everyone, and a pharmacare plan for all. Add your name and join us: [link]",Taking care of your family,2019-08-09,2019-08-30,Canada’s NDP / Le NPD du Canada,200000,249999,3000,3499,https://www.facebook.com/ads/library/?id=2195238754099468
661602794309405,177161812331407,Jagmeet Singh,"You're paying some of the highest prices in the world for cell & internet service, while rich cell phone companies like Rogers and Bell make billions in profits every year and the Trudeau Liberals do nothing to fix this.

It doesn't have to be like this – the NDP has a plan to lower your cell phone bill and ensure better internet coverage for all Canadians.",ndp.ca/lower-my-bill,"High speed internet and cell services are a necessity for Canadians – and despite this, broadband access and wireless services are far from being affordable or reliable in Canada.",Lower Cell Phone Bills,2019-08-09,2019-08-21,Canada’s NDP / Le NPD du Canada,50000,59999,600,699,https://www.facebook.com/ads/library/?id=661602794309405
485709378874714,177161812331407,Jagmeet Singh,"People across Canada are counting on us to change the government — from one that works to make life easier for multi-millionaires and big corporations, to one that’s focused on making life better for you and your family. Chip in today and help us make this a reality.",ndp.ca/chip-in,Chip in what you can today,Help us fight for people - chip in,2019-08-09,2019-09-30,Canada’s NDP / Le NPD du Canada,250000,299999,1000,1499,https://www.facebook.com/ads/library/?id=485709378874714
423807478232272,177161812331407,Jagmeet Singh,"I'm determined to make life more affordable for you and your family – join me, and let's fight to form a government that's actually on your side.",www.facebook.com,www.jagmeetsingh.ca,Jagmeet Singh,2019-08-09,2019-08-09,Canada’s NDP / Le NPD du Canada,0,999,0,99,https://www.facebook.com/ads/library/?id=423807478232272
2911218615585840,177161812331407,Jagmeet Singh,"People across Canada are counting on us to change the government — from one that works to make life easier for multi-millionaires and big corporations, to one that’s focused on making life better for you and your family. Chip in today and help us make this a reality.",ndp.ca/chip-in,Chip in what you can today,Help us fight for people - chip in,2019-08-09,2019-08-09,Canada’s NDP / Le NPD du Canada,0,999,0,99,https://www.facebook.com/ads/library/?id=2911218615585840
