ad_id,age,gender,percentage
501038577361114,13-17,unknown,1.3E-5
501038577361114,35-44,female,0.038244
501038577361114,18-24,unknown,0.003737
501038577361114,45-54,unknown,0.001344
501038577361114,65+,unknown,0.001479
501038577361114,35-44,unknown,0.002756
501038577361114,55-64,female,0.016911
501038577361114,45-54,male,0.020742
501038577361114,65+,male,0.013133
501038577361114,65+,female,0.015714
501038577361114,25-34,male,0.205794
501038577361114,55-64,male,0.011735
501038577361114,45-54,female,0.017287
501038577361114,25-34,unknown,0.005337
501038577361114,18-24,male,0.279352
501038577361114,35-44,male,0.054765
501038577361114,18-24,female,0.201143
501038577361114,25-34,female,0.109517
501038577361114,55-64,unknown,0.000995
414559975872923,65+,female,0.10947
414559975872923,45-54,female,0.045687
414559975872923,25-34,unknown,0.002415
414559975872923,35-44,unknown,0.002805
414559975872923,45-54,unknown,0.002805
414559975872923,18-24,unknown,0.001258
414559975872923,65+,unknown,0.006333
414559975872923,35-44,female,0.042225
414559975872923,18-24,female,0.040456
414559975872923,18-24,male,0.083972
414559975872923,25-34,female,0.046878
414559975872923,55-64,male,0.097884
414559975872923,45-54,male,0.086243
414559975872923,55-64,female,0.083082
414559975872923,65+,male,0.103371
414559975872923,35-44,male,0.101546
414559975872923,25-34,male,0.139097
414559975872923,55-64,unknown,0.004474
623019134894573,25-34,male,0.237885
623019134894573,45-54,female,0.01907
623019134894573,35-44,unknown,0.00462
623019134894573,55-64,female,0.022805
623019134894573,18-24,unknown,0.001081
623019134894573,55-64,unknown,0.002556
623019134894573,25-34,female,0.022117
623019134894573,35-44,female,0.020151
623019134894573,18-24,male,0.171926
623019134894573,35-44,male,0.17802
623019134894573,65+,female,0.016416
623019134894573,18-24,female,0.035584
623019134894573,65+,male,0.04335
623019134894573,45-54,unknown,0.003539
623019134894573,55-64,male,0.087978
623019134894573,65+,unknown,0.002359
623019134894573,45-54,male,0.127003
623019134894573,25-34,unknown,0.003539
487165915412218,65+,unknown,0.000335
487165915412218,65+,male,0.006865
487165915412218,45-54,unknown,0.000558
487165915412218,25-34,unknown,0.002065
487165915412218,18-24,unknown,0.002679
487165915412218,55-64,unknown,0.000279
487165915412218,55-64,male,0.005804
487165915412218,35-44,female,0.04169
487165915412218,45-54,female,0.022324
487165915412218,25-34,female,0.197455
487165915412218,65+,female,0.010939
487165915412218,35-44,male,0.016464
487165915412218,55-64,female,0.006641
487165915412218,18-24,male,0.179261
487165915412218,18-24,female,0.390055
487165915412218,25-34,male,0.103806
487165915412218,45-54,male,0.012167
487165915412218,35-44,unknown,0.000614
638438183231153,35-44,male,0.12719
638438183231153,25-34,male,0.496221
638438183231153,35-44,female,0.080848
638438183231153,25-34,female,0.279337
638438183231153,25-34,unknown,0.011951
638438183231153,35-44,unknown,0.004453
638438183231153,55-64,female,0
638438183231153,18-24,male,0
638438183231153,65+,female,0
638438183231153,45-54,male,0
638438183231153,18-24,female,0
638438183231153,45-54,female,0
638438183231153,55-64,male,0
638438183231153,65+,male,0
638438183231153,18-24,unknown,0
638438183231153,65+,unknown,0
638438183231153,55-64,unknown,0
638438183231153,45-54,unknown,0
392093478109787,25-34,male,0.231453
392093478109787,55-64,female,0.031489
392093478109787,45-54,unknown,0.002846
392093478109787,55-64,unknown,0.000534
392093478109787,55-64,male,0.034158
392093478109787,35-44,unknown,0.00427
392093478109787,18-24,unknown,0.00427
392093478109787,65+,male,0.023305
392093478109787,25-34,unknown,0.00676
392093478109787,18-24,male,0.217043
