ad_id,region,percentage
501038577361114,Unknown,0.001502
501038577361114,Alberta,0.105713
501038577361114,British Columbia,0.166051
501038577361114,Manitoba,0.057578
501038577361114,New Brunswick,0.028613
501038577361114,Newfoundland and Labrador,0.023973
501038577361114,Nova Scotia,0.053249
501038577361114,Ontario,0.50972
501038577361114,Prince Edward Island,0.006629
501038577361114,Saskatchewan,0.043021
501038577361114,Yukon,0.00161
501038577361114,Northwest Territories,0.001461
501038577361114,Nunavut,0.000879
501038577361114,Quebec,0
414559975872923,Alberta,0.144466
414559975872923,British Columbia,0.085158
414559975872923,Manitoba,0.141144
414559975872923,New Brunswick,0.057149
414559975872923,Newfoundland and Labrador,0.061677
414559975872923,Nova Scotia,0.061909
414559975872923,Ontario,0.214102
414559975872923,Prince Edward Island,0.009488
414559975872923,Quebec,0.062651
414559975872923,Saskatchewan,0.141266
414559975872923,Yukon,0.003078
414559975872923,Northwest Territories,0.007871
414559975872923,Nunavut,0.010041
623019134894573,Ontario,1
623019134894573,Saskatchewan,0
623019134894573,New Brunswick,0
623019134894573,Quebec,0
623019134894573,British Columbia,0
623019134894573,Prince Edward Island,0
623019134894573,Yukon,0
623019134894573,Newfoundland and Labrador,0
623019134894573,Nova Scotia,0
623019134894573,Nunavut,0
623019134894573,Manitoba,0
623019134894573,Northwest Territories,0
623019134894573,Alberta,0
487165915412218,Prince Edward Island,0.000115
487165915412218,Saskatchewan,0.000115
487165915412218,Unknown,0.001489
487165915412218,Nova Scotia,0.000115
487165915412218,Manitoba,0.00063
487165915412218,Alberta,0.000458
487165915412218,British Columbia,0.27444
487165915412218,Ontario,0.66302
487165915412218,Quebec,0.059619
487165915412218,New Brunswick,0
487165915412218,Yukon,0
487165915412218,Newfoundland and Labrador,0
487165915412218,Nunavut,0
487165915412218,Northwest Territories,0
638438183231153,New Brunswick,5.6E-5
638438183231153,Unknown,0.002076
638438183231153,British Columbia,0.320521
638438183231153,Ontario,0.6067
638438183231153,Quebec,0.067841
638438183231153,Alberta,0.001291
638438183231153,Manitoba,0.000842
638438183231153,Newfoundland and Labrador,0.000112
638438183231153,Saskatchewan,0.000337
638438183231153,Nova Scotia,0.000224
638438183231153,Yukon,0
638438183231153,Nunavut,0
638438183231153,Northwest Territories,0
638438183231153,Prince Edward Island,0
392093478109787,Alberta,0.000523
392093478109787,British Columbia,0.384548
392093478109787,Manitoba,0.000523
392093478109787,Nova Scotia,0.000523
392093478109787,Ontario,0.564353
392093478109787,Quebec,0.049355
392093478109787,Saskatchewan,0.000174
392093478109787,New Brunswick,0
392093478109787,Prince Edward Island,0
392093478109787,Yukon,0
392093478109787,Newfoundland and Labrador,0
392093478109787,Nunavut,0
392093478109787,Northwest Territories,0
885344428499088,British Columbia,0.297689
885344428499088,Ontario,0.702311
885344428499088,Saskatchewan,0
885344428499088,New Brunswick,0
885344428499088,Quebec,0
885344428499088,Prince Edward Island,0
885344428499088,Yukon,0
885344428499088,Newfoundland and Labrador,0
885344428499088,Nova Scotia,0
885344428499088,Nunavut,0
885344428499088,Manitoba,0
885344428499088,Northwest Territories,0
885344428499088,Alberta,0
382218812453549,Unknown,0.000446
382218812453549,Alberta,0.133592
382218812453549,British Columbia,0.136189
382218812453549,Manitoba,0.058901
382218812453549,New Brunswick,0.036054
382218812453549,Newfoundland and Labrador,0.020097
382218812453549,Nova Scotia,0.040878
382218812453549,Ontario,0.404812
382218812453549,Prince Edward Island,0.007378
382218812453549,Quebec,0.09382
382218812453549,Saskatchewan,0.063615
382218812453549,Yukon,0.001586
382218812453549,Northwest Territories,0.001738
382218812453549,Nunavut,0.000893
2473307552906358,Alberta,0.107916
2473307552906358,British Columbia,0.136227
2473307552906358,Manitoba,0.068275
2473307552906358,New Brunswick,0.027568
2473307552906358,Newfoundland and Labrador,0.019288
2473307552906358,Nova Scotia,0.043459
2473307552906358,Ontario,0.391353
2473307552906358,Prince Edward Island,0.007214
2473307552906358,Quebec,0.124575
2473307552906358,Saskatchewan,0.065077
2473307552906358,Yukon,0.002008
