ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
2457585601231776,190502667652613,Canada’s NDP / Le NPD du Canada,"Les progressistes, c'est nous. 🧡",,,,2019-10-20,2019-10-20,Canada’s NDP / Le NPD du Canada,300000,349999,4000,4499,https://www.facebook.com/ads/library/?id=2457585601231776
708063312938540,190502667652613,Canada’s NDP / Le NPD du Canada,"Les progressistes, c'est nous. 🧡",lapresse.ca,"Au cours de la présente campagne, c’est le Nouveau Parti démocratique (NPD) qui a formulé les deux propositions les plus susceptibles de réduire les inégal...","Lutte contre les inégalités : le NPD obtient les meilleures notes ; le PPC, les pires",2019-10-19,2019-10-20,Canada’s NDP / Le NPD du Canada,0,999,0,99,https://www.facebook.com/ads/library/?id=708063312938540
499768540877528,190502667652613,Canada’s NDP / Le NPD du Canada,"Nous, on a le courage de faire payer les ultra-riches pour vous en donner plus! #OnSeBatPourVous

Apprenez-en plus dans cette entrevue de La Presse et Jagmeet Singh. 👇",lapresse.ca,"En haussant les impôts des entreprises, le NPD ne craint pas un exode vers les États-Unis, assure Jagmeet Singh en entrevue éditoriale à La Presse",Entrevue éditoriale avec Jagmeet Singh : le « courage » de faire payer les entreprises,2019-10-19,2019-10-20,Canada’s NDP / Le NPD du Canada,3000,3999,100,199,https://www.facebook.com/ads/library/?id=499768540877528
445952496277272,190502667652613,Canada’s NDP / Le NPD du Canada,"Les progressistes, c'est nous.",,,,2019-10-19,2019-10-20,Canada’s NDP / Le NPD du Canada,350000,399999,6000,6999,https://www.facebook.com/ads/library/?id=445952496277272
406948990238922,190502667652613,Canada’s NDP / Le NPD du Canada,"Les progressistes, c'est nous.",,,,2019-10-19,2019-10-19,Canada’s NDP / Le NPD du Canada,7000,7999,0,99,https://www.facebook.com/ads/library/?id=406948990238922
2162750457359355,190502667652613,Canada’s NDP / Le NPD du Canada,"Andrew Scheer doesn’t believe in gay marriage, and he won’t protect abortion rights. That’s why the NDP would never work with him.",ndp.ca,,This may surprise you,2019-10-19,2019-10-21,Canada’s NDP / Le NPD du Canada,600000,699999,20000,24999,https://www.facebook.com/ads/library/?id=2162750457359355
780880749015094,190502667652613,Canada’s NDP / Le NPD du Canada,"Les progressistes, c'est nous.",,,,2019-10-19,2019-10-20,Canada’s NDP / Le NPD du Canada,1000000,00,15000,19999,https://www.facebook.com/ads/library/?id=780880749015094
459522858105464,190502667652613,Canada’s NDP / Le NPD du Canada,"Pour les générations futures. 🌎
#OnSeBatPourLeClimat",,,,2019-10-19,2019-10-20,Canada’s NDP / Le NPD du Canada,0,999,0,99,https://www.facebook.com/ads/library/?id=459522858105464
2535965429857622,190502667652613,Canada’s NDP / Le NPD du Canada,"When push comes to shove, Justin Trudeau sides with corporations and his wealthy friends. Jagmeet Singh and the NDP choose you.",www.ndp.ca,,Choices,2019-10-19,2019-10-20,Canada’s NDP / Le NPD du Canada,900000,999999,20000,24999,https://www.facebook.com/ads/library/?id=2535965429857622
451846255442690,190502667652613,Canada’s NDP / Le NPD du Canada,"This election, you don't have to settle. You can vote for what you believe in – and leaders who will choose you.
Make your plan to vote for Jagmeet Singh and the NDP",ndp.ca,,Vote NDP,2019-10-18,2019-10-20,Canada’s NDP / Le NPD du Canada,1000000,00,50000,59999,https://www.facebook.com/ads/library/?id=451846255442690
363028337723659,190502667652613,Canada’s NDP / Le NPD du Canada,"New Democrats defeat Conservatives across the country, and we'll stop them from forming government. If you want to send a progressive voice to Ottawa to fight for the services you need, choose the NDP.",www.ndp.ca,,Vote NDP,2019-10-19,2019-10-20,Canada’s NDP / Le NPD du Canada,100000,124999,5000,5999,https://www.facebook.com/ads/library/?id=363028337723659
254782525440828,190502667652613,Canada’s NDP / Le NPD du Canada,"Les progressistes, c'est nous.",,,,2019-10-19,2019-10-20,Canada’s NDP / Le NPD du Canada,900000,999999,10000,14999,https://www.facebook.com/ads/library/?id=254782525440828
941990719510893,190502667652613,Canada’s NDP / Le NPD du Canada,We're honoured to have the endorsement of Grand Chief Stewart Phillip and so proud that Joan Phillip is running to represent Central Okanagan–Similkameen–Nicola.,www.ndp.ca,,Grand Chief Stewart Philip Endorses NDP,2019-10-19,2019-10-20,Canada’s NDP / Le NPD du Canada,150000,174999,4000,4499,https://www.facebook.com/ads/library/?id=941990719510893
689309344910715,190502667652613,Canada’s NDP / Le NPD du Canada,"Andrew Scheer wants to cut taxes for the wealthiest and slash your services: healthcare, education, housing. Only the NDP can stop Conservatives in Cowichan-Malahat-Langford",,,,2019-10-19,2019-10-20,Canada’s NDP / Le NPD du Canada,15000,19999,400,499,https://www.facebook.com/ads/library/?id=689309344910715
429442584375276,190502667652613,Canada’s NDP / Le NPD du Canada,"Andrew Scheer wants to cut taxes for the wealthiest and slash your services: healthcare, education, housing. Only the NDP can stop Conservatives in South Okanagan-West Kootenay.",,,,2019-10-19,2019-10-20,Canada’s NDP / Le NPD du Canada,45000,49999,1000,1499,https://www.facebook.com/ads/library/?id=429442584375276
481704559084770,190502667652613,Canada’s NDP / Le NPD du Canada,"Justin Trudeau’s Liberals met 550 times with the Telecom giants. While he keeps cozying up with big Telecom, we keep getting ripped off. Jagmeet and Canada’s New Democrats are committed to protecting Canadian consumers from price gouging.",www.ndp.ca,Learn more and join our campaign,Choose Different,2019-10-18,2019-10-20,Canada’s NDP / Le NPD du Canada,400000,449999,7000,7999,https://www.facebook.com/ads/library/?id=481704559084770
709002426245835,190502667652613,Canada’s NDP / Le NPD du Canada,"Too many Canadians are choosing between paying bills or filling their pills. Meanwhile, Trudeau’s government continues to cuts deals with big pharmaceutical companies and denies Canadians access to Pharmacare. How can we trust Justin Trudeau when he sides with Big Pharma over Canadians?",www.ndp.ca,Learn more and join our campaign,Choose Different,2019-10-18,2019-10-20,Canada’s NDP / Le NPD du Canada,500000,599999,9000,9999,https://www.facebook.com/ads/library/?id=709002426245835
2285173118439259,190502667652613,Canada’s NDP / Le NPD du Canada,"Justin Trudeau uses pretty words, but behind closed doors he has let Canadians down. Trudeau promised to be a climate leader, but chose to side with big oil and gas companies while you pay the price.
How can we trust anything Justin Trudeau says?",www.ndp.ca,Learn more and join our campaign,Choose Different,2019-10-18,2019-10-20,Canada’s NDP / Le NPD du Canada,350000,399999,4500,4999,https://www.facebook.com/ads/library/?id=2285173118439259
464998030891202,190502667652613,Canada’s NDP / Le NPD du Canada,"When push comes to shove, Justin Trudeau sides with corporations and his wealthy friends. Jagmeet Singh and the NDP choose you.",www.ndp.ca,,Choices,2019-10-19,2019-10-20,Canada’s NDP / Le NPD du Canada,200000,249999,2000,2499,https://www.facebook.com/ads/library/?id=464998030891202
2369100649867996,190502667652613,Canada’s NDP / Le NPD du Canada,"This election, you don't have to settle. You can vote for what you believe in – and leaders who will choose you.
Make your plan to vote for Jagmeet Singh and the NDP",ndp.ca,,Vote NDP,2019-10-18,2019-10-18,Canada’s NDP / Le NPD du Canada,450000,499999,4500,4999,https://www.facebook.com/ads/library/?id=2369100649867996
1400102860155929,190502667652613,Canada’s NDP / Le NPD du Canada,We're honoured to have the endorsement of Grand Chief Stewart Phillip and so proud that Joan Phillip is running to represent Central Okanagan–Similkameen–Nicola.,ndp.ca,Grand Chief Stewart Phillip's endorsment,Grand Chief Stewart Philip Endorses NDP,2019-10-18,2019-10-18,Canada’s NDP / Le NPD du Canada,20000,24999,100,199,https://www.facebook.com/ads/library/?id=1400102860155929
