ad_id,age,gender,percentage
2457585601231776,25-34,female,0.173106
2457585601231776,18-24,male,0.156322
2457585601231776,18-24,female,0.185107
2457585601231776,25-34,male,0.185431
2457585601231776,45-54,male,0.038722
2457585601231776,35-44,male,0.102588
2457585601231776,35-44,female,0.10264
2457585601231776,45-54,female,0.042335
2457585601231776,35-44,unknown,0.005532
2457585601231776,45-54,unknown,0.001899
2457585601231776,25-34,unknown,0.005202
2457585601231776,18-24,unknown,0.001118
2457585601231776,55-64,female,0
2457585601231776,55-64,male,0
2457585601231776,65+,female,0
2457585601231776,65+,unknown,0
2457585601231776,55-64,unknown,0
2457585601231776,65+,male,0
708063312938540,18-24,female,0.079114
708063312938540,25-34,female,0.112342
708063312938540,65+,female,0.085443
708063312938540,45-54,female,0.085443
708063312938540,25-34,male,0.117089
708063312938540,35-44,female,0.06962
708063312938540,18-24,male,0.058544
708063312938540,45-54,male,0.058544
708063312938540,25-34,unknown,0.009494
708063312938540,35-44,male,0.091772
708063312938540,65+,male,0.045886
708063312938540,55-64,female,0.107595
708063312938540,55-64,male,0.060127
708063312938540,65+,unknown,0.004747
708063312938540,55-64,unknown,0.004747
708063312938540,35-44,unknown,0.009494
708063312938540,45-54,unknown,0
708063312938540,18-24,unknown,0
499768540877528,65+,male,0.053629
499768540877528,18-24,male,0.043145
499768540877528,25-34,unknown,0.005242
499768540877528,55-64,unknown,0.002823
499768540877528,65+,unknown,0.004032
499768540877528,18-24,female,0.054435
499768540877528,55-64,male,0.07379
499768540877528,45-54,male,0.069758
499768540877528,25-34,female,0.112903
499768540877528,35-44,female,0.099194
499768540877528,65+,female,0.0875
499768540877528,25-34,male,0.101613
499768540877528,55-64,female,0.103226
499768540877528,45-54,unknown,0.004839
499768540877528,35-44,male,0.089919
499768540877528,45-54,female,0.085081
499768540877528,35-44,unknown,0.008871
499768540877528,18-24,unknown,0
445952496277272,35-44,male,0.12131
445952496277272,25-34,male,0.192007
445952496277272,35-44,female,0.142475
445952496277272,45-54,male,0.041247
445952496277272,18-24,female,0.116384
445952496277272,25-34,female,0.20316
445952496277272,18-24,male,0.117336
445952496277272,45-54,female,0.052292
445952496277272,25-34,unknown,0.004674
445952496277272,35-44,unknown,0.006549
445952496277272,45-54,unknown,0.001958
445952496277272,18-24,unknown,0.000607
445952496277272,55-64,female,0
445952496277272,55-64,male,0
445952496277272,65+,female,0
445952496277272,65+,unknown,0
445952496277272,55-64,unknown,0
445952496277272,65+,male,0
406948990238922,25-34,male,0.205761
406948990238922,45-54,female,0.045617
406948990238922,25-34,female,0.186742
406948990238922,18-24,female,0.137817
406948990238922,35-44,male,0.098401
406948990238922,18-24,male,0.165105
406948990238922,35-44,female,0.116731
406948990238922,45-54,male,0.0328
406948990238922,25-34,unknown,0.004548
406948990238922,35-44,unknown,0.005099
406948990238922,45-54,unknown,0.000827
406948990238922,18-24,unknown,0.000551
406948990238922,55-64,female,0
406948990238922,55-64,male,0
406948990238922,65+,female,0
406948990238922,65+,unknown,0
406948990238922,55-64,unknown,0
406948990238922,65+,male,0
2162750457359355,35-44,male,0.085224
2162750457359355,65+,male,0.031253
2162750457359355,18-24,unknown,0.001613
2162750457359355,35-44,unknown,0.005087
2162750457359355,25-34,unknown,0.004069
2162750457359355,55-64,unknown,0.004313
2162750457359355,65+,unknown,0.004398
2162750457359355,55-64,female,0.071923
2162750457359355,35-44,female,0.112952
2162750457359355,55-64,male,0.036772
2162750457359355,45-54,male,0.055148
2162750457359355,45-54,female,0.083581
2162750457359355,18-24,male,0.073412
2162750457359355,25-34,female,0.15209
2162750457359355,65+,female,0.055413
2162750457359355,25-34,male,0.1298
2162750457359355,18-24,female,0.089002
2162750457359355,45-54,unknown,0.003949
780880749015094,13-17,unknown,1.0E-6
780880749015094,45-54,male,0.049896
780880749015094,18-24,male,0.142832
780880749015094,35-44,male,0.139367
780880749015094,25-34,female,0.162769
780880749015094,18-24,female,0.130191
780880749015094,25-34,male,0.202082
780880749015094,45-54,female,0.043617
780880749015094,35-44,female,0.11354
780880749015094,25-34,unknown,0.005273
780880749015094,35-44,unknown,0.0074
780880749015094,18-24,unknown,0.000736
780880749015094,45-54,unknown,0.002296
780880749015094,55-64,female,0
780880749015094,55-64,male,0
780880749015094,65+,female,0
780880749015094,65+,unknown,0
780880749015094,55-64,unknown,0
780880749015094,65+,male,0
459522858105464,18-24,female,0.2
459522858105464,25-34,male,0.6
459522858105464,35-44,female,0.2
459522858105464,45-54,female,0
459522858105464,55-64,male,0
459522858105464,65+,female,0
459522858105464,25-34,female,0
459522858105464,65+,unknown,0
459522858105464,35-44,male,0
459522858105464,45-54,unknown,0
459522858105464,25-34,unknown,0
459522858105464,18-24,unknown,0
459522858105464,35-44,unknown,0
459522858105464,45-54,male,0
459522858105464,18-24,male,0
459522858105464,55-64,female,0
459522858105464,55-64,unknown,0
459522858105464,65+,male,0
2535965429857622,13-17,unknown,4.0E-6
2535965429857622,55-64,male,0.024782
2535965429857622,25-34,unknown,0.004582
2535965429857622,45-54,unknown,0.003208
2535965429857622,18-24,unknown,0.001418
