ad_id,region,percentage
2457585601231776,Quebec,1
2457585601231776,Manitoba,0
2457585601231776,Ontario,0
2457585601231776,Prince Edward Island,0
2457585601231776,New Brunswick,0
2457585601231776,Alberta,0
2457585601231776,Nunavut,0
2457585601231776,Newfoundland and Labrador,0
2457585601231776,Yukon,0
2457585601231776,Nova Scotia,0
2457585601231776,Northwest Territories,0
2457585601231776,Saskatchewan,0
2457585601231776,British Columbia,0
708063312938540,Quebec,1
708063312938540,Manitoba,0
708063312938540,Ontario,0
708063312938540,Prince Edward Island,0
708063312938540,New Brunswick,0
708063312938540,Alberta,0
708063312938540,Nunavut,0
708063312938540,Newfoundland and Labrador,0
708063312938540,Yukon,0
708063312938540,Nova Scotia,0
708063312938540,Northwest Territories,0
708063312938540,Saskatchewan,0
708063312938540,British Columbia,0
499768540877528,Quebec,1
499768540877528,Manitoba,0
499768540877528,Ontario,0
499768540877528,Prince Edward Island,0
499768540877528,New Brunswick,0
499768540877528,Alberta,0
499768540877528,Nunavut,0
499768540877528,Newfoundland and Labrador,0
499768540877528,Yukon,0
499768540877528,Nova Scotia,0
499768540877528,Northwest Territories,0
499768540877528,Saskatchewan,0
499768540877528,British Columbia,0
445952496277272,Quebec,1
445952496277272,Manitoba,0
445952496277272,Ontario,0
445952496277272,Prince Edward Island,0
445952496277272,New Brunswick,0
445952496277272,Alberta,0
445952496277272,Nunavut,0
445952496277272,Newfoundland and Labrador,0
445952496277272,Yukon,0
445952496277272,Nova Scotia,0
445952496277272,Northwest Territories,0
445952496277272,Saskatchewan,0
445952496277272,British Columbia,0
406948990238922,Quebec,1
406948990238922,Manitoba,0
406948990238922,Ontario,0
406948990238922,Prince Edward Island,0
406948990238922,New Brunswick,0
406948990238922,Alberta,0
406948990238922,Nunavut,0
406948990238922,Newfoundland and Labrador,0
406948990238922,Yukon,0
406948990238922,Nova Scotia,0
406948990238922,Northwest Territories,0
406948990238922,Saskatchewan,0
406948990238922,British Columbia,0
2162750457359355,British Columbia,1
2162750457359355,Manitoba,0
2162750457359355,Ontario,0
2162750457359355,Prince Edward Island,0
2162750457359355,New Brunswick,0
2162750457359355,Alberta,0
2162750457359355,Quebec,0
2162750457359355,Nunavut,0
2162750457359355,Newfoundland and Labrador,0
2162750457359355,Yukon,0
2162750457359355,Nova Scotia,0
2162750457359355,Northwest Territories,0
2162750457359355,Saskatchewan,0
780880749015094,Unknown,0.00027
780880749015094,Alberta,0.013893
780880749015094,British Columbia,0.010255
780880749015094,Manitoba,0.00446
780880749015094,New Brunswick,0.043962
780880749015094,Newfoundland and Labrador,0.001079
780880749015094,Nova Scotia,0.004387
780880749015094,Ontario,0.079522
780880749015094,Prince Edward Island,0.000792
780880749015094,Quebec,0.837697
780880749015094,Saskatchewan,0.002797
780880749015094,Yukon,0.000341
780880749015094,Northwest Territories,0.000302
780880749015094,Nunavut,0.000244
459522858105464,Quebec,1
459522858105464,Manitoba,0
459522858105464,Ontario,0
459522858105464,Prince Edward Island,0
459522858105464,New Brunswick,0
459522858105464,Alberta,0
459522858105464,Nunavut,0
459522858105464,Newfoundland and Labrador,0
459522858105464,Yukon,0
459522858105464,Nova Scotia,0
459522858105464,Northwest Territories,0
459522858105464,Saskatchewan,0
459522858105464,British Columbia,0
2535965429857622,Alberta,0.044839
2535965429857622,British Columbia,0.39633
2535965429857622,Manitoba,0.038839
2535965429857622,Newfoundland and Labrador,0.043287
2535965429857622,Ontario,0.4341
2535965429857622,Saskatchewan,0.042604
2535965429857622,Yukon,1.0E-6
2535965429857622,Prince Edward Island,0
2535965429857622,New Brunswick,0
2535965429857622,Quebec,0
2535965429857622,Nunavut,0
2535965429857622,Nova Scotia,0
2535965429857622,Northwest Territories,0
451846255442690,Quebec,1.0E-6
451846255442690,Alberta,0.018079
451846255442690,British Columbia,0.202888
451846255442690,Manitoba,0.055592
451846255442690,Newfoundland and Labrador,0.024439
451846255442690,Nova Scotia,0.095056
451846255442690,Ontario,0.552602
451846255442690,Saskatchewan,0.051342
451846255442690,Yukon,1.0E-6
451846255442690,Northwest Territories,0
451846255442690,Prince Edward Island,0
451846255442690,New Brunswick,0
451846255442690,Nunavut,0
363028337723659,Alberta,1
363028337723659,Manitoba,0
363028337723659,Ontario,0
363028337723659,Prince Edward Island,0
363028337723659,New Brunswick,0
363028337723659,Quebec,0
363028337723659,Nunavut,0
363028337723659,Newfoundland and Labrador,0
363028337723659,Yukon,0
363028337723659,Nova Scotia,0
363028337723659,Northwest Territories,0
363028337723659,Saskatchewan,0
363028337723659,British Columbia,0
254782525440828,Quebec,1
254782525440828,Manitoba,0
254782525440828,Ontario,0
254782525440828,Prince Edward Island,0
254782525440828,New Brunswick,0
254782525440828,Alberta,0
254782525440828,Nunavut,0
254782525440828,Newfoundland and Labrador,0
254782525440828,Yukon,0
254782525440828,Nova Scotia,0
254782525440828,Northwest Territories,0
254782525440828,Saskatchewan,0
254782525440828,British Columbia,0
941990719510893,British Columbia,1
941990719510893,Manitoba,0
941990719510893,Ontario,0
941990719510893,Prince Edward Island,0
941990719510893,New Brunswick,0
941990719510893,Alberta,0
941990719510893,Quebec,0
941990719510893,Nunavut,0
941990719510893,Newfoundland and Labrador,0
941990719510893,Yukon,0
941990719510893,Nova Scotia,0
941990719510893,Northwest Territories,0
941990719510893,Saskatchewan,0
689309344910715,British Columbia,1
689309344910715,Manitoba,0
689309344910715,Ontario,0
689309344910715,Prince Edward Island,0
689309344910715,New Brunswick,0
689309344910715,Alberta,0
689309344910715,Quebec,0
689309344910715,Nunavut,0
689309344910715,Newfoundland and Labrador,0
689309344910715,Yukon,0
689309344910715,Nova Scotia,0
689309344910715,Northwest Territories,0
689309344910715,Saskatchewan,0
429442584375276,British Columbia,1
429442584375276,Manitoba,0
429442584375276,Ontario,0
429442584375276,Prince Edward Island,0
429442584375276,New Brunswick,0
429442584375276,Alberta,0
429442584375276,Quebec,0
429442584375276,Nunavut,0
429442584375276,Newfoundland and Labrador,0
429442584375276,Yukon,0
429442584375276,Nova Scotia,0
429442584375276,Northwest Territories,0
429442584375276,Saskatchewan,0
481704559084770,Alberta,0.027568
