ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
525621478251041,1762289390536601,People's Party of Canada,Immigration: Reducing Overall Levels and Prioritizing Skilled Immigrants,www.peoplespartyofcanada.ca,Reducing Overall Levels and Prioritizing Skilled Immigrants,Immigration:,2019-10-15,2019-10-20,People's Party of Canada,90000,99999,500,599,https://www.facebook.com/ads/library/?id=525621478251041
473178486738343,1762289390536601,People's Party of Canada,Join our team of supporters and help us bring more freedom and prosperity to Canada!,peoplespartyofcanada.ca,,,2019-10-15,2019-10-20,People's Party of Canada,80000,89999,500,599,https://www.facebook.com/ads/library/?id=473178486738343
2552298481554968,1762289390536601,People's Party of Canada,"I recorded a TV ad yesterday. Support us if you want as many people as possible to see it on TV! 
To make a donation: https://www.peoplespartyofcanada.ca/donate",,,PPC's Ad Campaign,2019-09-27,2019-10-07,People's Party of Canada,80000,89999,500,599,https://www.facebook.com/ads/library/?id=2552298481554968
2335582936756425,1762289390536601,People's Party of Canada,Freedom of Expression: Protecting Canadians from Censorship and Discrimination,peoplespartyofcanada.ca,Join our team of supporters and help us bring freedom and prosperity to Canada!,Read Our Platform,2019-09-26,2019-10-20,People's Party of Canada,4000,4999,0,99,https://www.facebook.com/ads/library/?id=2335582936756425
1363717940449482,1762289390536601,People's Party of Canada,Freedom of Expression: Protecting Canadians from Censorship and Discrimination,peoplespartyofcanada.ca,Join our team of supporters and help us bring freedom and prosperity to Canada!,Read Our Platform,2019-09-26,2019-10-20,People's Party of Canada,10000,14999,100,199,https://www.facebook.com/ads/library/?id=1363717940449482
669823700169074,1762289390536601,People's Party of Canada,Global Warming and Environment: Rejecting Alarmism and Focusing on Concrete Improvements,peoplespartyofcanada.ca,Join our team of supporters and help us bring freedom and prosperity to Canada!,Read Our Platform,2019-09-26,2019-10-20,People's Party of Canada,5000,5999,0,99,https://www.facebook.com/ads/library/?id=669823700169074
413324752929342,1762289390536601,People's Party of Canada,Global Warming and Environment: Rejecting Alarmism and Focusing on Concrete Improvements,peoplespartyofcanada.ca,Join our team of supporters and help us bring freedom and prosperity to Canada!,Read Our Platform,2019-09-26,2019-10-20,People's Party of Canada,30000,34999,200,299,https://www.facebook.com/ads/library/?id=413324752929342
2403698989889574,1762289390536601,People's Party of Canada,Freedom of Expression: Protecting Canadians from Censorship and Discrimination,peoplespartyofcanada.ca,Join our team of supporters and help us bring freedom and prosperity to Canada!,Read Our Platform,2019-09-26,2019-10-20,People's Party of Canada,30000,34999,300,399,https://www.facebook.com/ads/library/?id=2403698989889574
376104386675100,1762289390536601,People's Party of Canada,Freedom of Expression: Protecting Canadians from Censorship and Discrimination,peoplespartyofcanada.ca,Join our team of supporters and help us bring freedom and prosperity to Canada!,Read Our Platform,2019-09-26,2019-10-20,People's Party of Canada,100000,124999,900,999,https://www.facebook.com/ads/library/?id=376104386675100
431106714428390,1762289390536601,People's Party of Canada,Health Care: Giving Provinces the Incentives to Deal with Wait Times and Rising Costs,peoplespartyofcanada.ca,Join our team of supporters and help us bring freedom and prosperity to Canada!,Read Our Platform,2019-09-26,2019-09-29,People's Party of Canada,1000,1999,0,99,https://www.facebook.com/ads/library/?id=431106714428390
