ad_id,age,gender,percentage
525621478251041,45-54,male,0.11079
525621478251041,45-54,female,0.01996
525621478251041,18-24,unknown,0.000684
525621478251041,35-44,unknown,0.004204
525621478251041,45-54,unknown,0.003042
525621478251041,18-24,female,0.015825
525621478251041,35-44,female,0.026488
525621478251041,25-34,female,0.021191
525621478251041,18-24,male,0.121779
525621478251041,55-64,female,0.031906
525621478251041,25-34,unknown,0.003042
525621478251041,65+,male,0.090283
525621478251041,35-44,male,0.180805
525621478251041,25-34,male,0.224776
525621478251041,65+,unknown,0.003332
525621478251041,55-64,male,0.098828
525621478251041,65+,female,0.040485
525621478251041,55-64,unknown,0.00258
473178486738343,35-44,female,0.016212
473178486738343,25-34,unknown,0.003102
473178486738343,18-24,unknown,0.001209
473178486738343,45-54,female,0.012496
473178486738343,45-54,unknown,0.0017
473178486738343,55-64,unknown,0.001665
473178486738343,55-64,female,0.020559
473178486738343,65+,female,0.03139
473178486738343,65+,male,0.052808
473178486738343,25-34,male,0.268946
473178486738343,25-34,female,0.025414
473178486738343,35-44,male,0.13676
473178486738343,55-64,male,0.05938
473178486738343,35-44,unknown,0.002944
473178486738343,18-24,female,0.0326
473178486738343,45-54,male,0.073752
473178486738343,18-24,male,0.257133
473178486738343,65+,unknown,0.001928
2552298481554968,55-64,male,0.114179
2552298481554968,45-54,male,0.096471
2552298481554968,35-44,unknown,0.004496
2552298481554968,25-34,unknown,0.003582
2552298481554968,18-24,unknown,0.001115
2552298481554968,65+,unknown,0.005738
2552298481554968,35-44,female,0.012975
2552298481554968,55-64,unknown,0.004057
2552298481554968,55-64,female,0.034959
2552298481554968,18-24,male,0.153524
2552298481554968,25-34,male,0.208366
2552298481554968,18-24,female,0.013048
2552298481554968,45-54,female,0.013706
2552298481554968,65+,male,0.131997
2552298481554968,35-44,male,0.128634
2552298481554968,25-34,female,0.012902
2552298481554968,65+,female,0.057309
2552298481554968,45-54,unknown,0.002942
2335582936756425,65+,unknown,0.001937
2335582936756425,35-44,female,0.061604
2335582936756425,18-24,unknown,0.000387
2335582936756425,18-24,female,0.026734
2335582936756425,35-44,unknown,0.006587
2335582936756425,65+,male,0.063541
2335582936756425,45-54,female,0.044944
2335582936756425,35-44,male,0.160015
2335582936756425,65+,female,0.046881
2335582936756425,25-34,unknown,0.002325
2335582936756425,18-24,male,0.065091
2335582936756425,45-54,male,0.097637
2335582936756425,25-34,male,0.189074
2335582936756425,25-34,female,0.06974
2335582936756425,55-64,female,0.061217
2335582936756425,55-64,male,0.094537
2335582936756425,45-54,unknown,0.003874
2335582936756425,55-64,unknown,0.003874
1363717940449482,55-64,female,0.054036
1363717940449482,25-34,male,0.153255
1363717940449482,35-44,unknown,0.004818
1363717940449482,18-24,female,0.040755
