ad_id,region,percentage
525621478251041,Alberta,0.173707
525621478251041,British Columbia,0.100497
525621478251041,Manitoba,0.053555
525621478251041,New Brunswick,0.040904
525621478251041,Newfoundland and Labrador,0.028524
525621478251041,Nova Scotia,0.048383
525621478251041,Ontario,0.283294
525621478251041,Prince Edward Island,0.006648
525621478251041,Quebec,0.181237
525621478251041,Saskatchewan,0.077569
525621478251041,Yukon,0.001509
525621478251041,Northwest Territories,0.002561
525621478251041,Nunavut,0.001611
473178486738343,Unknown,0.00084
473178486738343,Alberta,0.139344
473178486738343,British Columbia,0.089217
473178486738343,Manitoba,0.04404
473178486738343,New Brunswick,0.044268
473178486738343,Newfoundland and Labrador,0.027442
473178486738343,Nova Scotia,0.047696
473178486738343,Ontario,0.288518
473178486738343,Prince Edward Island,0.007486
473178486738343,Quebec,0.237237
473178486738343,Saskatchewan,0.069873
473178486738343,Yukon,0.001294
473178486738343,Northwest Territories,0.001259
473178486738343,Nunavut,0.001487
2552298481554968,Unknown,0.000164
2552298481554968,Alberta,0.109844
2552298481554968,British Columbia,0.08029
2552298481554968,Manitoba,0.041909
2552298481554968,New Brunswick,0.053679
2552298481554968,Newfoundland and Labrador,0.026904
2552298481554968,Nova Scotia,0.058102
2552298481554968,Ontario,0.259349
2552298481554968,Prince Edward Island,0.008334
2552298481554968,Quebec,0.307398
2552298481554968,Saskatchewan,0.049567
2552298481554968,Yukon,0.001151
2552298481554968,Northwest Territories,0.001755
2552298481554968,Nunavut,0.001554
2335582936756425,Yukon,0.384142
2335582936756425,Northwest Territories,0.428791
2335582936756425,Nunavut,0.187067
2335582936756425,Ontario,0
2335582936756425,New Brunswick,0
2335582936756425,Alberta,0
2335582936756425,Prince Edward Island,0
2335582936756425,Saskatchewan,0
2335582936756425,Manitoba,0
2335582936756425,British Columbia,0
2335582936756425,Newfoundland and Labrador,0
2335582936756425,Quebec,0
2335582936756425,Nova Scotia,0
1363717940449482,Newfoundland and Labrador,1
1363717940449482,Yukon,0
1363717940449482,Ontario,0
1363717940449482,New Brunswick,0
1363717940449482,Alberta,0
1363717940449482,Nunavut,0
1363717940449482,Prince Edward Island,0
1363717940449482,Saskatchewan,0
1363717940449482,Manitoba,0
1363717940449482,Northwest Territories,0
1363717940449482,British Columbia,0
1363717940449482,Quebec,0
1363717940449482,Nova Scotia,0
669823700169074,Yukon,0.424422
669823700169074,Northwest Territories,0.39967
669823700169074,Nunavut,0.175908
669823700169074,Ontario,0
669823700169074,New Brunswick,0
669823700169074,Alberta,0
669823700169074,Prince Edward Island,0
669823700169074,Saskatchewan,0
669823700169074,Manitoba,0
669823700169074,British Columbia,0
669823700169074,Newfoundland and Labrador,0
669823700169074,Quebec,0
669823700169074,Nova Scotia,0
413324752929342,Manitoba,1
413324752929342,Yukon,0
413324752929342,Ontario,0
413324752929342,New Brunswick,0
413324752929342,Alberta,0
